Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Explanations),Question 1 Numerical,Question 1 Comment,Question 2 (Questions),Question 2 Numerical,Question 2 Comment,Question 3 (Visual Presentation),Question 3 Numerical,Question 3 Comment,Question 4 (Oral Presentation),Question 4 Numerical,Question 4 Comment,Question 5 (Availability),Question 5 Numerical,Question 5 Comment,Question 6 (Interest),Question 6 Numerical,Question 6 Comment,Question 7 (Effectiveness),Question 7 Numerical,Question 7 Comment,Question 8 (Attendance),Question 8 Numerical,Question 8 Comment,Question 9 (Assigned Work),Question 9 Numerical,Question 9 Comment,Question 10 (Printed Notes),Question 10 Numerical,Question 10 Comment,Question 11 (Textbook),Question 11 Numerical,Question 11 Comment,Question 12 (New Material),Question 12 Numerical,Question 12 Comment,Question 13 (Assigned Work Amount),Question 13 Numerical,Question 13 Comment,Question 14 (Hours Per Week),Question 14 Numerical,Question 14 Comment,Text Question 0 (What instructor has done well),Text Question 1 (Improvements to technique or style),Text Question 2 (Course's strong points),Text Question 3 (Course's weak points),Text Question 4 (Class atmosphere),Text Question 5 (Other Comments)
2016-11-21T23:26:23,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No opinion,4,,Somewhat too much,1,,Okay,2,,7-10 hours,2,,,,,,,
2016-11-22T12:25:09,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,I definitely love the course and it helped me a lot.,Excellent,0,One of my favourite CS prof at UW.,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Okay,2,,Okay,2,,7-10 hours,2,,,"The midterm is nothing like the previous ones. I did spend a million years on the definitions, but not really appeared on the paper tho.",,,,
2016-11-22T17:04:49,Good,1,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,Most of the time,1,,Very interesting,0,,Good,1,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Okay,2,,Okay,2,,7-10 hours,2,,"Explained difficult concepts straightforward.
Very engaged in the class","Too many jokes sometimes.
Wore a creepy smile when I asking questions.",Basic concepts of C,Too basic,good,ok
2016-11-23T08:36:13,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,75-90%,1,,Very helpful,0,,No opinion,4,,No opinion,4,,Okay,2,,Okay,2,,3-6 hours,1,,,,,,,
2016-11-23T10:00:40,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Often enough,2,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Okay,2,,Okay,2,,3-6 hours,1,,"""interesting"" examples",,new fresh material,"""fair"" to be tested on Racket even though most of the class was taught in C. Made me study for a good amount of Racket on my own since I have transferred into UW.",positive class atmosphere given off by prof,
2016-11-23T17:33:00,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Good,1,,I did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Not helpful,2,,No text required,3,,Okay,2,,Okay,2,,7-10 hours,2,,,,,,,
2016-11-23T18:48:44,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Most of the time,1,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Somewhat too much,1,,Okay,2,,7-10 hours,2,,,,,,,
2016-11-23T20:41:39,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Often enough,2,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,Not Helpful,2,,Okay,2,,Okay,2,,7-10 hours,2,,Keeping the students engaged throughout each lecture,Sometimes does long pauses that makes me lose focus,Teaches the fundamental ideas about computer science.,,,
2016-11-23T21:21:54,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Often enough,2,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Somewhat too much,1,,Okay,2,,7-10 hours,2,,Did a really great job at explaining the theory behind what we were learning and why we were learning it. Related what we were learning to the real world so that we could see the practical uses for what we were learning and it helped us better understand the material.,"Use more examples on how to implement the code that we are learning about. Did a great job at explaining what we were learning and how it worked but when it came time to do the assignments, I felt like I didn't really know how to do them. For example, when learning pointers I knew exactly how they worked and what they did, but on the assignment, I didn't know how to use them because we didn't see enough actual code examples with pointers.",Was interesting and seemed like I learned stuff that I will actually use in the future.,After the midterm the material got really difficult and new material was introduced at a much faster pace than before the midterm.,N/A,N/A
2016-11-23T21:34:53,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,No opinion,4,,Okay,2,,Okay,2,Really enjoyed working on the bonus questions. Please make more!,7-10 hours,2,,Made the lectures very interesting and did an amazing job at explaining all the material. Thank you for an amazing term!,Feel that we did not need to spend as much time as we did on some of the earlier content.,Learned a lot of useful techniques that are applicable to the real world.,"Found that assignments were sometimes not clear about what to expect for certain edge case testing scenarios. Found that a lot of questions on Piazza were basically ""what should ___ output"". Would have been interesting if we were provided with the interface of the solutions with the implementation hidden from us (something similar to what was done with readchar and readnat in the earlier assignments) so that we could freely run the program to experiment with different inputs to help build our own code without giving us the solution.",No,N/A
2016-11-23T22:28:40,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,Pointers,Stay funny,C,,Good,Size is okay but the classroom is not friendly to the seats in the back.
2016-11-24T10:00:32,,,,,,,,,,,,,,,,Not often enough,3,,Interesting,1,,Good,1,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not Helpful,2,,Okay,2,,Okay,2,,11-15 hours,3,,"Great explanations. 
Good communication.  
Personable.
Practical examples and analogies are great, due more of these.","If you did more board examples that would be great.
Maybe you could create a space/time for asking questions in class. Although this may be more up to the students. Some of your lectures have a lot of content, others have less. Try and balance your content quantity more.","Helpful in the development of cs skills.
Great TAs and excellent support.",Allow for more creativity in applying the course material. Assignments should have more weight since they require so much work. I know plagiarism is a concern but try operating with more trust.,,
2016-11-24T12:15:06,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,Well explanation of course material,,Really nice course to learn imperative programming.,,,
2016-11-24T13:12:33,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Most of the time,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Okay,2,,11-15 hours,3,,,,,,,
2016-11-24T15:56:18,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Most of the time,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Okay,2,,Okay,2,,7-10 hours,2,,"THE BEST professor i've ever had, no doubt. Great dynamic in lecture. Interesting, funny and helpful professor. I really like the way you teach, and also those extra, beyond-the-course information about computer and programming, which give me a better overview of the whole computer science world. Overall,  YOU MADE A SUPPOSE-TO-BE BORING COURSE INTERESTING AND ENJOYABLE!       P.S. !!!REEEEEALLY hope that I can see you in other computer science course, too. PLEASE!!!!",please add a little bit more examples and digraphs etc. either on the slides or on the board along with the material that would be very helpful.,Deeper conversation about algorithm and a new way to approach a question using abstract data type. Really great preparation for later-on object-oriented programming.,"please introduce more design part, it's interesting to learn and essential for later-on programming choice.
 Also, still think racket part is a little bit too much, especially in the beginning part of this course, like introduction of adt etc., which, for me, can understand better in c.  P.S. also, NOT ENOUGH DAVEEEE!!!!)))",positive,just right.
2016-11-24T18:46:37,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Okay,2,,Okay,2,,7-10 hours,2,,No complaints,Include more steppers or animations in class,,,,"I've had Dave for CS 135 and (un)fortunately twice for CS 136 and I can say with utter confidence, Dave is the professor you need for CS.  He is super engaging, helpful and really cares if the student's understanding the content being presented.  Personally, if I weren't in Dave's section I would sacrifice my clicker grade to attend his lectures.  DAVE, it's been a pleasure being your student!"
2016-11-24T22:33:39,Excellent,0,,Somewhat too low,3,,Good,1,,Good,1,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,,,,Okay,2,,Somewhat too much,1,,3-6 hours,1,,"The material was presented really clearly, and it was obvious that you have a passion for statistics that really shines through to help engage the students.","Especially near the end of the term, class often went overtime and was rushed near the end.","The constant testing (iClickers, assignments, and tests) were very good preparation for the midterms and (I assume) the exam, and the different formats of the constant testing appealed to different types of learning.","The assigned preparation material for the constant testing often overlapped, and students weren't informed of this near the start of the course, so when students were assigned the same question set 3 or 4 times, it was no longer helpful as we can remember the answers and are no longer challenged. 
Possible solutions: 
1. Informing the students in advance that the problem sets will be reused and how many times so that they can split up the questions as they see fit.
2. The instructors splitting up the assigned question sets (e.g. only odd for the first time its assigned, only even the second time).
3. Create/give students access to more problem sets",N/A,N/A
2016-11-25T13:02:51,Excellent,0,,Somewhat too low,3,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,"-Always in a good mood and telling jokes
-Somehow still alive after drinking all that coke zero (nice!) :)
-Uses both the blackboard and the slides to convey meaning effectively
-Always explains everything to a high degree of understanding","Sometimes in reviewing the previous class you drag on a little long and I tune out a little, but I understand why it's done.","Dave, Dave's jokes, C, linked lists, good explanations of somewhat difficult concepts","Pointers are really painful, as are structures with arrays... Aka assignment 9... But the class itself was always fun to attend :)",N/A,N/A
