mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,6,He made the class an interactive one.,He's already good; no need for improvement!,The course made me learn the world of basic programming.,The workload is a bit much; especially the assignments.,No comment.,I think CS class should be like less students.  Class size should be smaller.
1,3,1,1,2,3,2,1,1,2,2,4,3,3,,,,,,,positive,No
1,3,2,2,2,3,2,1,1,2,2,4,3,3,2,,Tries to keep class interesting.,Could tone down the rambling a little.,Good pace.,Don't think the notes cover enough for assignments.,n/a,n/a
2,3,2,2,1,,2,2,1,1,1,3,3,3,3,,,,,,,
2,3,2,1,2,6,2,2,1,2,1,5,3,2,3,,,,,,,
1,3,1,1,2,1,1,1,2,1,1,1,3,3,5,6,,,,,,
1,3,1,2,1,3,2,1,1,2,2,2,3,2,3,,,,,,,
2,3,1,1,2,2,1,1,1,1,2,2,3,3,2,,,,,,,
1,3,3,2,2,3,3,1,1,1,2,3,3,3,2,,,,,,,
2,3,2,3,2,3,1,2,2,2,2,2,3,3,2,,,,,,,
1,2,1,1,1,2,4,2,1,2,1,5,2,3,5,,He tries to explain everything simple.,I think we need more practice which related to the exams.,The content before midterm,The trees.,,
1,4,1,2,1,2,3,1,1,2,1,3,2,3,4,,He tried to make the course as interesting as he could.  Very energetic in class.,I really think the class should have more tracing exercises involved.,The course helps in building a mindset for this type of thinking.,I think it really doesn't start well for a student with no CS background.  It tends to be a bit difficult.,Class atmosphere is good overall.,pretty good
2,3,3,3,2,4,2,2,1,2,2,3,4,3,3,,Careful and funny.,,,,,
2,3,1,1,1,6,2,2,1,2,2,2,3,3,2,,Great explanation on course concepts.  Made me enjoy CS and learning it.  Actually understood what Dave was teaching.  Used a lot of real life examples and related to real life.  Overall great teacher.,Nothing,Dave's lecture,Assignments took forever,No,"Good class size, not loud, able to focus."
