smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,txt_1
4,4,4,4,4,4,4,4,4,Dave helps students get interested in the material.  He provided real-life examples of the relevance to our careers.  I think he should make his blackboard examples longer and more thorough to help students understand better.
0,0,0,0,0,0,0,0,0,Dave is a very interesting & likeable person.  Try to cover a bit more material / or explain some topics in more depth.
1,1,3,0,0,4,4,0,0,"He is engaging and interesting in his lectures, and goes out of his way to present information that is interesting to the class."
7,5,7,4,8,10,11,8,7,He made the class well relaxed.  He used a lot of real life examples.
12,14,10,16,12,6,5,12,13,I like his sense of humor which is important.
,,,,,,,,,I liked the way he presented the material.  He made it clear & understandable.  He also made the class fun.
,,,,,,,,,More practical examples could be good.
,,,,,,,,,"More props.  Offer additional opportunities for exploration (eg. MPEG, etc.)"
,,,,,,,,,Need better study guides.
,,,,,,,,,"Overall, the course is well done.  The lectures are clear, interesting, and entertaining.  The only improvement is to provide more examples of what might be on tests.  (Practice questions)"
,,,,,,,,,The informal lectures are easy to listen to.
,,,,,,,,,"The lecture materials are very advanced and interesting.  Unfortunately, we don't have enough time to go into any depth."
,,,,,,,,,The pace can be a little bit slower.  Cover less extra material.
,,,,,,,,,The pace of the course is too fast.
