mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,4,,3,,2,,4,,"Great character, loved his style of teaching. His examples and rough work was very helpful. He was also very passionate about showing us cool stuff which I appreciate. He does a good job at teaching new and experienced coders without confusing too many people.",,,"I found that some assignments became very hard all of a sudden. I got through it and learned a lot, but it took 24+ hours and there were no directly helpful examples taught in class.","Positively, Dave is a funny guy.",Great class
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,5,,3,,3,,2,,Witty and helpful. Makes the course fun.,,,,,
1,,3,,1,,1,,1,,2,,1,,1,,1,,1,,4,,2,,3,,3,,1,,Dave was awesome.,Dave explains everything in a funny and interesting way.,Dave was very helpful.,I can't remember,"Dave was helpful, students in my class very active.",Good. Very Good.
2,,3,,2,,1,,1,,6,,2,,1,,1,,1,,2,,5,,3,,3,,4,,Dave's a really fun presenter and he works hard to keep the class engaged.,Dave's pretty awesome.,"As painful as it was to learn/use Racket, lists, and recursion for tasks that could be far easier completed using a more modern language, it certainly forces you to understand the concepts since there are no crutches, like variables, arrays, and iteration, available. I do believe that's the point of CS 135.","Some of the earlier lectures were pretty boring, to be honest, for someone who already had experience with programming. That's not really something that can be fixed though, since not everyone taking the course starts at the same level.",Not in the least.,"I thought the class size and room (PHYS 150) were perfect for the course; the room was small enough to comfortably read the slides, and the class was small enough that anyone could ask questions."
1,,3,,2,,1,,1,,6,,1,,1,,1,,1,,2,,3,,3,,3,,3,,He was great at keeping the class engaged. Examples were very effective at demonstrating certain concepts too.,None,Very interesting and fun.,Occasionally too difficult,No,Fold-out tables were too small for my laptop. Would've liked a different room with proper tables
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,1,,5,,3,,3,,2,,"Dave is incredibly funny and engaging while remaining respectful and competent, and I respect him hugely for that. You can tell he really cares about his students and the material. CS135 was the course I was most dreading this semester but it quickly ended up becoming my favourite, in large part due to the amazing instructor. In high school (and even in some courses now) I tended to go over the material on my own at home instead of bothering to follow the lessons, but Dave's lectures are actually helpful and engaging. His sense of humour is very positive and sincere, the kind that makes you smile without making anyone feel bad.",Everything was fine.,Assignments were fun and interesting without being too challenging.,"Admittedly design recipe can be very helpful, but having to do it for every function got very tedious and unnecessarily time-consuming. Style guide could be a bit more specific. Sometimes the ""test coverage results"" were kind of too nitpicky for my liking.","Dave is a cool, funny, respectful guy, and he creates a very comfortable, relaxed class environment that lets us all focus on the course material while having fun.","The PHYS classroom was kinda cramped. The Lion King movie was a nice touch - made me really want to be punctual. Also my friend is a big fan of Dave's YouTuber cousin, so she's jealous of me now"
2,,2,,1,,1,,1,,1,,2,,1,,1,,2,,,,4,,2,,2,,4,,Dave is extremely engaging in lectures and does a great job of making somewhat boring topics interesting.,Great technique and style.,Tough questions which require a lot of problem solving. I found racket great for learning programming.,Quite a bit of focus on stepper questions on tests but almost not instruction on them in lectures.,Dave always managed to keep everyone laughing and engaged in class. His humour seemed to bring everyone together.,"Class size was good, could be smaller. The room was great and there was almost no noise."
1,,3,,2,,1,,1,,1,,2,,1,,1,,1,,1,,4,,2,,2,,3,,"Coding in the class, which makes more clear for us to understand the step.",Maybe do some extra examples outside the course notes could help.,Learn how to systematically build a function. Make us a logical mind.,Assignments are a little bit to hard and the course covers too much modules than cs115.,"The instructor is really funny, so the atmosphere is positive.",
1,,3,,2,"Sometimes, certain students may ask unnecessary questions that derail the class. At times like this, the instructor could improve upon ending these questions sooner and getting the class back on track.",1,,1,,6,,2,,1,,1,,1,,2,,5,,4,,2,,3,,"Great energy, lectures were very enjoyable.[nl]Analogies used when explaining difficult concepts were really good.",No comments.,No comments,No comments,No comments,No comments
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,4,,4,,2,"Very fast-paced, so it was difficult to absorb the new material while trying to fully understand the previous material",3,,4,,Willing to go through examples in class with the class as a whole and not just reference the slides,nothing,,"lambda, and trees and the number of test cases required for specific functions",No,
