Organization,Explanations,Questions,Visual Presentation,Oral Presentation,Availability,Interest,Effectiveness,Attendance,Assigned Work,Printed Notes,Textbook,New Material,Assigned Work Amount,Hours Per Week,Text Comments
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Very helpful,No text required,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Great character, loved his style of teaching. His examples and rough work was very helpful. He was also very passionate about showing us cool stuff which I appreciate. He does a good job at teaching new and experienced coders without confusing too many people.
Course's weak points: I found that some assignments became very hard all of a sudden. I got through it and learned a lot, but it took 24+ hours and there were no directly helpful examples taught in class.
Class atmosphere: Positively, Dave is a funny guy.
Other Comments: Great class
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,No opinion,Okay,Okay,3-6 hours,"What instructor has done well: Witty and helpful. Makes the course fun.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Helpful,Okay,Okay,0-2 hours,"What instructor has done well: Dave was awesome.
Improvements to technique or style: Dave explains everything in a funny and interesting way.
Course's strong points: Dave was very helpful.
Course's weak points: I can't remember
Class atmosphere: Dave was helpful, students in my class very active.
Other Comments: Good. Very Good.
"
Good,Just Right,Good,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Okay,Okay,11-15 hours,"What instructor has done well: Dave's a really fun presenter and he works hard to keep the class engaged.
Improvements to technique or style: Dave's pretty awesome.
Course's strong points: As painful as it was to learn/use Racket, lists, and recursion for tasks that could be far easier completed using a more modern language, it certainly forces you to understand the concepts since there are no crutches, like variables, arrays, and iteration, available. I do believe that's the point of CS 135.
Course's weak points: Some of the earlier lectures were pretty boring, to be honest, for someone who already had experience with programming. That's not really something that can be fixed though, since not everyone taking the course starts at the same level.
Class atmosphere: Not in the least.
Other Comments: I thought the class size and room (PHYS 150) were perfect for the course; the room was small enough to comfortably read the slides, and the class was small enough that anyone could ask questions.
"
Excellent,Just Right,Good,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Okay,7-10 hours,"What instructor has done well: He was great at keeping the class engaged. Examples were very effective at demonstrating certain concepts too.
Improvements to technique or style: None
Course's strong points: Very interesting and fun.
Course's weak points: Occasionally too difficult
Class atmosphere: No
Other Comments: Fold-out tables were too small for my laptop. Would've liked a different room with proper tables
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Very helpful,No opinion,Okay,Okay,3-6 hours,"What instructor has done well: Dave is incredibly funny and engaging while remaining respectful and competent, and I respect him hugely for that. You can tell he really cares about his students and the material. CS135 was the course I was most dreading this semester but it quickly ended up becoming my favourite, in large part due to the amazing instructor. In high school (and even in some courses now) I tended to go over the material on my own at home instead of bothering to follow the lessons, but Dave's lectures are actually helpful and engaging. His sense of humour is very positive and sincere, the kind that makes you smile without making anyone feel bad.
Improvements to technique or style: Everything was fine.
Course's strong points: Assignments were fun and interesting without being too challenging.
Course's weak points: Admittedly design recipe can be very helpful, but having to do it for every function got very tedious and unnecessarily time-consuming. Style guide could be a bit more specific. Sometimes the ""test coverage results"" were kind of too nitpicky for my liking.
Class atmosphere: Dave is a cool, funny, respectful guy, and he creates a very comfortable, relaxed class environment that lets us all focus on the course material while having fun.
Other Comments: The PHYS classroom was kinda cramped. The Lion King movie was a nice touch - made me really want to be punctual. Also my friend is a big fan of Dave's YouTuber cousin, so she's jealous of me now
"
Good,Somewhat too high,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Helpful,,No text required,Somewhat too much,Somewhat too much,11-15 hours,"What instructor has done well: Dave is extremely engaging in lectures and does a great job of making somewhat boring topics interesting.
Improvements to technique or style: Great technique and style.
Course's strong points: Tough questions which require a lot of problem solving. I found racket great for learning programming.
Course's weak points: Quite a bit of focus on stepper questions on tests but almost not instruction on them in lectures.
Class atmosphere: Dave always managed to keep everyone laughing and engaged in class. His humour seemed to bring everyone together.
Other Comments: Class size was good, could be smaller. The room was great and there was almost no noise.
"
Excellent,Just Right,Good,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Very helpful,No text required,Somewhat too much,Somewhat too much,7-10 hours,"What instructor has done well: Coding in the class, which makes more clear for us to understand the step.
Improvements to technique or style: Maybe do some extra examples outside the course notes could help.
Course's strong points: Learn how to systematically build a function. Make us a logical mind.
Course's weak points: Assignments are a little bit to hard and the course covers too much modules than cs115.
Class atmosphere: The instructor is really funny, so the atmosphere is positive.
"
Excellent,Just Right,Good,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Somewhat too little,Somewhat too much,7-10 hours,"What instructor has done well: Great energy, lectures were very enjoyable.
Analogies used when explaining difficult concepts were really good.
Improvements to technique or style: No comments.
Course's strong points: No comments
Course's weak points: No comments
Class atmosphere: No comments
Other Comments: No comments
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,No printed notes,No text required,Somewhat too much,Okay,11-15 hours,"What instructor has done well: Willing to go through examples in class with the class as a whole and not just reference the slides
Improvements to technique or style: nothing
Course's weak points: lambda, and trees and the number of test cases required for specific functions
Class atmosphere: No
"
