mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,2,,5,,1,,2,,5,,Interesting,,,,,dont like the classroom
2,,2,,2,,2,,1,,6,,2,,2,,1,,3,,5,,5,,2,,3,,2,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,3,,2,,2,,2,,3,,3,,2,,,,,,,
1,,2,,1,,1,,1,,1,,2,,1,,1,,1,,1,,2,,2,,2,,2,,,,,,,
1,,3,,1,,2,,1,,1,,2,,1,,1,,1,,1,,4,,2,,3,,3,,,,,,,
1,,3,,1,,1,,1,,2,,1,,1,,1,,1,,1,,5,,2,,1,,5,,"Explanations were very clear, classes were engaging, overall the instructor is as best as a student can hope to be",Perhaps give assignments that can be a little more reasonable (less time consuming),"Teaches students theory of ADTs, sorting algorithms, and how to solve problems in C",Sometimes assignments are too time consuming/ difficult,No,N/A
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,4,,,,,,,
2,,3,,2,,2,,2,,2,,2,,2,,1,,2,,2,,2,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,Teach the basic C with some good practices very well:),,Overall a very structured and well-taught course. Dave has a good sense of humor:) This is my favorite course of this semester.,"I feel like we should teach students how to compile their C program on their own computer and some basic unix command during the first lecture...[nl]By the way... Personally, I use some unix shortcuts on keyboard(such as Ctrl+E goes to the end of line) But Seashell uses Ctrl+E as running test... It becomes very inconvenient when I really just want to move to the end of line...",,"Drink more water and less coke Dave, it's good for your health:)"
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,4,,"There was a lot of assistance outside of the classroom. With Piazza, tutorials, and office hours, it was hard to ever feel like something was impossible to understand.",The structure of lectures were very good and easy to understand. 10/10,"The course's content was pretty interesting, and the assignments were never insanely hard",Nah,None whatsoever.,"The class size was just right, the slides and laser thing was helpful, and the movie clip before class made me never late."
1,,3,I appreciate having some information intended for advanced students and also answering questions in class.,1,,1,,1,,1,,1,,1,,1,,1,Some assignments feels like busy work. But the content are solid and not difficult.,5,,5,,3,,3,If it were any more repetitive I'd have said a bit too much.,2,Just the assignments.,"Funny, being involved, great at catching and maintaining our attention.",More fresh jokes.,"Fun class, good content. Some in depth explaination of the content that a c++ programmer like me didn't know before.",The assignment marking system.,Definitely positive.,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,3,,3,,3,,Dave is super passionate about teaching and computer science and it makes us get excited about the course too! He has taken a lot of hard concepts and really broken them down to smaller concepts.,Good teaching style. I enjoy the use of blackboard later on in the course. I would've liked more black board rather than sometimes drawing on the slide since it's within notes and kind of distracting.,Taught a lot of useful concepts that are great for foundation & beginner interview questions.,None really.,"Sometimes if I didn't understand something, felt like I was the only one since peopl who did Understsnd would raise their hand and ask even more in depth questions.",Great class !! :)
1,,3,,1,,1,,1,,1,,1,,1,,1,,2,,1,,4,,2,,2,,4,,,,,,,
