Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
407194,2018-03-29T19:19:24.973692,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not helpful,2,,Too much,0,,Somewhat too much,1,,11-15 houts,3,,,,"Very clear explanation. Stress the key points to make sure everyone understand what is happening, and I feel I understand than the concepts behind the codes clearly understand Dave's instruction.",,,I think it is nearly perfect.,,,Very clear notes. ,,,Instructions in the assignments are not very clear.,,,No.,,,"I do not like the mid-term 2pts adjustment. There was a multiple choice question on the first page, where I got everything right but the marker marked it wrong. It was clearly a marking mistake, but that policy prevented me from correcting the issue because I lost 2pts for that question. From most of the people I knew, they did not have such clear incorrect marking. I think that policy only benefited the students who were not satisfied with their grades, and prevented them from asking for a remark for something that is trivial. However, it really hurt me who just got an incorrect marking, which made me feel that the test is more like a game of luck."
411351,2018-03-30T23:19:27.216150,Good,1,,Somewhat too high,1,,Good,1,,Good,1,,Excellent,0,,Usually available,1,,Not interesting,2,,Good,1,,90-100%,0,,Not helpful,2,,Helpful,1,,Not helpful,2,,Somewhat too much,1,,Too much,0,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
397982,2018-03-28T03:14:04.913484,Excellent,0,,Too high,0,,Excellent,0,,Good,1,,Good,1,,Usually available,1,,Interesting,1,,Good,1,,50-75%,2,,Helpful,1,,Very helpful,0,,No text required,3,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
395932,2018-03-27T16:02:08.999495,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,Dave has a really positive attitude and is very expressive. I enjoy his sillyness. ,,,N/A,,,"Very good foundation to learning C, very interesting. ",,,Assignments are definitely challenging. Not necessarily a bad thing but it caused a lot of stress as students have to pass assignments to pass the course and it is quite hard to pass the assignments sometimes. ,,,Predominantly male but that's just the nature of the cs program right now. Makes it hard to have female friends to code with. ,,,Good. 
387127,2018-03-22T20:58:11.720543,Good,1,,Somewhat too high,1,,Good,1,,Good,1,,Good,1,,Did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Somewhat too much,1,"The difficulty curve of the course was a bit exponential; it's a few weeks of simple, kinda-dry material to suddenly memory and efficiency, then suddenly malloc just appears.",Somewhat too much,1,"* Some assignments were fine, some were way too long.
* Please don't make an assignment due the same week as a midterm.  I know there was a break, but still.  No other course did that.
* Allowing at least *one* dropped assignment might help.  
* Providing slightly more useful test cases would be nice.  The recent malloc assignment is an example; the simple tests for 2 are literally a one line test that provides nothing for us.  Not looking for extensive tests, but providing maybe more than one example test (two would be nice) would help.",7-10 hours,2,,,,"* Good analogies, interesting tangents and information.
* Interesting to listen to, never boring.
* Answers student questions decently.",,,"* Can I mention the Coke?
* Sometimes spends too long on certain topics, leading to falling behind.",,,"* It's overall an enjoyable and interesting course.
* C is a language that teaches a lot when one tries to learn it.
* Topics covered (memory, efficiency, heap) are all applicable outside of the course, and are interesting topics.",,,"* Assignment questions are quite often either harder than expected or time consuming.
* As mentioned earlier, it would be nice if there were more useful example tests.",,,A certain student made the course a bit more difficult to want to go to at first.,,,Good.
424082,2018-04-04T23:25:15.264690,Excellent,0,,Just Right,2,"Instructor(Dave Topkins) is really good at explaining abstract and complex concepts in the most simplest way with analogies and visual representations such as Stack(plate analogy), merge sort(stack of papers analogy) removing from linked list(visual representations) ",Excellent,0,"very helpful, and eager to teach",Excellent,0,"Drawing the linked list and removing elements something that I will never forget, i think it's a lot more helpful than just giving the algorithm or talking about it. I think it should be done in other examples as well such as removing/adding from a tree (perhaps balancing for the next terms).",Excellent,0,,Did not seek help,5,,Very interesting,0,"In terms of memory management it was interesting and challenging. Personally, it was something that I've never tried before. But my expectations were more abstract focused.",Excellent,0,,90-100%,0,,Not helpful,2,,Very helpful,0,,Very helpful,0,,Somewhat too little,3,"Course aims to teach algorithm design but skips many important concepts like balancing trees, hash tables, graph searches, shortest paths, divide and conquer algorithms (choosing a pivot etc.)  while focusing more on memory management. I think this should be teached java or python so that students can better focus on their algorithmic reasoning memory management makes this course overly complex and shifts its focus. In CS246 students will be already dealing with memory management. ",Too much,0,"Assignments generally needed clarification, descriptions were not adequate enough to understand easily. Instead of giving majority of algorithms in course notes, we should have been talking more about the algorithmic approaches, and do the all implementations by ourselves. For the last two assignments I've spent more time on understanding the questions and modifying the already given implementations for the overly complex questions. I think assignments can be more real word suited examples, instead of just implementing an ADT we should also understand which ADT is more useful in which scenario and why. So that students can better understand why should someone use stack over queue or linked list over array or vice-versa. For instance, one of the assignments can be building a local social network with graphs. CS135 was better in terms of this real work suited assignments approach.",7-10 hours,2,,,,"Course was engaging and clear, some of the analogies makes it better to understand the concepts.",,,In CS 135 we did a lot more in class coding and on paper coding these were generally good activities. I think these activities should also be in CS136 ,,,"Teaching the relation between the abstract(data, algorithms) and physical state(memory)",,,"Many important algorithms skipped or given as a C code. We should spend more time on building our algorithms and less time on memory management. Instead of giving algorithms as a C code, it would be a lot beneficial if we just talk about them in class with visual representations and implement them by ourselves on real world examples. ",,,Attitude of one of students were unintentionally disturbing(asking too many irrelevant questions or talking about irrelevant things without consent) in terms of the progress of the course. But instructor( Dave Tompkins) handled the situation superbly and changed the situation to an unexpected advantage.(kept us engaged with interesting answers to those irrelevant questions and the amount of irrelevant questions gradually decreased),,,it's good
390006,2018-03-23T22:17:12.791345,Good,1,,Somewhat too low,3,,Good,1,,Good,1,,Good,1,,Did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Not helpful,2,,No printed notes,3,,No text required,3,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,Drank lots of Coke Zero and also explained concepts at a level all students can understand,,,"Please no more long exams, RIP my GPA. And also improve seashell.",,,Interesting questions that resembled real-world programs,,,C is an awful language. This course has only made my love for Python stronger.,,,"No, Dave was super chill",,,
384852,2018-03-22T16:37:56.809855,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,Helpful,1,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,Prof Dave is a great and knowledgeable professor and he explained the concepts well and revisited the last lecture a bit in each lecture.,,,Drink less coke:(,,,This course is useful and give a introductory to imperative paradigm.,,,May give students more information so that we will struggle less for assignments.,,,Positively. Students are all keen to learn knowledge.,,,Just right.
402817,2018-03-28T19:23:29.939680,Good,1,,Somewhat too high,1,,Good,1,,Excellent,0,,Excellent,0,,Did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Very helpful,0,,Helpful,1,,Somewhat too little,3,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
396874,2018-03-27T18:45:03.541465,Excellent,0,,Just Right,2,,Good,1,"Sometimes dwells on questions that are not relevant to the course, or spends too much time on basic questions",Excellent,0,,Excellent,0,Makes the occasional slipup by saying one word when he means the other. Sometimes this is a bigger deal if he is using specific terms,Did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not helpful,2,,Somewhat too much,1,dynamic memory can go die in a hole,Somewhat too much,1,"Some assignments were a bit too long, especially the first couple (the one with the sentence editing was ridiculous for the beginning of the course). ",7-10 hours,2,,,,"Engaging, taught content well, makes funny jokes to keep me awake in class",,,,,,Teaching us an imperative language,,,"Marks were very slow to be released, assignments were varying levels of difficulty. Too indecisive of the deadline format (second chances vs extensions; I think you should've stuck with second chances). Regarding seashell and marmoset:
Seashell: implement a way to minimize functions (like Eclipse).
Marmoset: 
- group assignments together so that the main page isn't a blob of every single question in the course. 
- takes me 3 button clicks to view secret tests, then 3 more to go to a different question. Use the format for viewing marks on cs136. ",,,,,,
396085,2018-03-27T16:39:23.264150,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,I think he does a good job trying to see things from the students perspective and is very fair and understanding.,,,,,,Learning about how memory allocation works.,,,I think some questions on the assignments were a bit unclear at times.,,,I'd say there was a positive class atmosphere.,,,
418821,2018-04-03T14:29:16.310644,Excellent,0,,Just Right,2,,Satisfactory,2,,Good,1,,Excellent,0,,Usually available,1,,Interesting,1,,Good,1,,75-90%,1,,Helpful,1,,Very helpful,0,,,,,Right amount,2,,Right amount,2,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
407416,2018-03-29T20:17:14.616391,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No text required,3,,Somewhat too much,1,,Too much,0,,> 15 hours,4,,,,Always very enthusiastic and passionate. Very good examples and diagrams.,,,All was good,,,Very informative and interesting,,,Homework gets really difficult at the end and should be less heavy.,,,Everything was great,,,
389847,2018-03-23T20:26:31.462464,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,Really humourous and create a lighthearted class environment.,,,Nothing.,,,Introduce many new and useful stuff.,,,Sometimes there are too much new stuff to digest. Also the assignments are really hard and require a huge amount of time.,,,No.,,,No.
406879,2018-03-29T18:44:39.926049,Good,1,,Just Right,2,,Good,1,,Excellent,0,,Good,1,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,,,,Very helpful,0,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,"watch the movie at the beginning of the class, though the movie this term is kind of boring",,,have more clicker questions,,,,,,,,,,,,
417599,2018-04-02T23:02:28.372580,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,"One of the best professors I've ever had, hands down. Pretty motivational too.",,,,,,,,,Trivial Coursework,,,,,,
382531,2018-03-21T19:04:47.993056,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Somewhat too much,1,,3-6 hours,1,,,,Excellent lecturer.,,,"Exams were far too long while not assessing someone's true ability or knowledge. Assignments were too tedious. Not enough <a href=""#"">R E C U R S I O N</a>",,,Prof (Tompkins) and content.,,,Exams,,,No,,,
392460,2018-03-26T16:51:45.056028,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Too much,0,,> 15 hours,4,,,,Bad jokes lol,,,"I mentioned last term...but it didnt change. Mc is a really bad classroom for cs. Really bad. Stc like Alice's class has bigger screen, and my view will not be blocked by front students.",,,All,,,Bad bad bad bad classroom. As I mentioned above and last term. And difficult assignments,,,Good,,,Bad bad bad bad bad mc classroom
399509,2018-03-28T14:36:28.975731,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,,,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
