mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,,4,,2,,1,,1,,6,,1,,1,,1,,1,,1,,3,,4,,2,,3,,-Stepping through code on the board was very helpful,,,-seashelll sucked. I have dual monitors and can't make use of them because of the interface. There should be an alternative method of completing assignments that students can use. Maybe introduce it on an optional office hour or something[nl][nl]-Add that peer code review/marking thing you talked about in class[nl]-ensure homework is able to be completed without reading ahead[nl]-post lecture slides 2 days before lectures so we have time to print it out,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,1,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,1,,5,,3,,1,,5,,Too much for such a small space.,"I would appreciate it if he went through the thought process of solving more of the clicker questions, even if they seem obvious and everyone gets them right.",I liked the organization of slides (including higher level concepts and important points).,1. I hate seashell.[nl]2. What was assignment 9 even?[nl]3. When Dave was sick.,Everyone is just happy to have Dave so the class atmosphere was positive.,We need a bigger class to hold all the people trying to get into Dave's section. Or maybe a smaller one to keep everyone else out.
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,1,,4,,3,,3,,3,,"Enthusiasm, presentation of information, oral communication","Visuals on the slides instead of drawing on the board, since most of us don't take notes down, don't draw on walls","Introduced a good amount of new concepts, good presentation of information, entertaining lectures","Pacing was slightly slow for me, probably about a good pace for the rest.","Positively/negatively: too much hype, sometimes chaotic to get in.",Spare seats would be nice since class sizes were packed
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,4,,5,,3,,3,,4,,"He's funny, and kept my attention even for the few times the material was a bit dull. He also did a lot of examples of going through code on the blackboard, and examples of writing/running code in Seashell itself.",,"It was a nice introduction to a new style of programming, and it was pretty interesting throughout.",,,
1,,3,,2,,2,,1,,6,,2,,1,,1,,1,,5,,5,,3,,3,,4,,dave is amazing i wish he's the prof for all my courses,,,,amazing,
1,,4,,1,,1,,1,,1,,2,,1,,1,,1,,5,,3,,5,,3,,3,,"Excellent presentation, very engaging.  Well organized.",,C memory model,"Racket, using a functional language as an imperative one","Very quite classroom, positive when any mood could be observed",
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,6,,4,,2,,,,,,,
1,,3,,2,,1,,1,,6,,2,,1,,1,,1,,1,,5,,3,,3,,3,,"Great job on keeping the class engaged! Explanations were also extremely clear, thank you for being so awesome! :)",,"Course notes were very comprehensive, assignments were challenging and helpful for understanding the concepts.","Timing of lecture material progress and assignment due dates: could not start early on them unless we read the slides in advance, which could be a bit difficult for those of us who learn better from lectures and hearing the concepts explained out loud. The Monday due date for the last three assignments makes a lot more sense timing-wise for me!",,
1,,3,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,"Assignments are too long, time consuming",5,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,4,,3,,1,,3,,Everything!,no opinion,no opinion,no opinion,no opinion,no opinion
1,,3,,1,,3,"Prof can try turn all the light on except for the light right above the blackboard in order for us to be able to see the blackboard and the projector at the same time. Since when the light right above the blackboard are on, it's really hard to see the contents on the projector.",1,,6,,2,,1,,1,,1,,2,,5,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,3,,1,,1,,1,,1,,3,,5,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,5,,5,,3,,3,,3,,Class atmosphere is positive.[nl]A lot of effort put into teaching.[nl]Explanations were very clear and easy to understand.,Maybe a little more time on harder portions of the course (ex. pointers),Order in which materials were delivered made a lot of sense.,N/A,Class atmosphere is positive as the instructor gave us opportunities to interact with fellow classmate.[nl]Lots of people are raising questions.,A little too crowded sometimes.
1,,3,,1,,1,,1,,2,,2,,1,,1,,2,,2,,2,,3,,3,,3,,Incorporation of humour to keep the audience's attention,None,Introduction to C,Pointers,Nope,No comments
2,,3,,2,,1,,1,,6,,2,,1,,1,,2,,1,,4,,3,,2,"Some of the assignments took a while, but they helped me understand the material more so that was okay.",5,,Dave was a super engaging prof and I'm glad that I was able to be in his class. His explanations were really clear and helped me understand the content without being boring.,,The lecture notes were really clear and thorough.,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,2,,2,,5,,3,,3,,2,,Dave was the best! Fantastic explainer and made concepts very interesting and entertaining. It was a great experience to be in his section. :),,,,,
