mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,1,1,1,6,1,1,1,1,1,5,6,3,2,6,,,,,,
1,3,1,2,1,6,2,1,1,1,1,3,4,3,2,6,"Funny, approachable, knowledgeable. Your analogies are pretty ridiculous sometimes, yet always entertaining and somehow helpful.","Coming from CS135, this may be an appropriate course, but as a CS116 student there was a lot of overlap of material. A new course that bridges the gap between cs116 and cs246 would be great (not sure if it would be feasible though).","I enjoyed the memory model stuff, I think it made me a better programmer.","Functional C I think was too drawn out. Also, the '?' operator was forced on us, resulting in the worst looking code I have ever written. I think functional C could have been taught using if-else's, but forcing a return statement to avoid imperative programming.",Not at all!,It was overall a great course with a great instructor.
2,3,1,2,1,6,2,1,2,2,2,4,3,2,3,6,"The explanation is pretty clear and logical.[nl]The in-class teaching is very efficient, I don't need to spend too much extra time reading the course notes again after attending classes.","When using the electronic pointer(the device with red light to point at which part the instructor is talking about on slide), the red light is not easy to catch. I got confused at which part the instructor was talking about sometime.","The material is pretty fair, it is useful and in an acceptable difficulty level.",I really think some of the assignment questions were duplicate. Could we reduce the amount of the questions but focus more on different aspects that the assignment could discuss about?,No comment.,No comment.
2,3,1,3,1,2,2,1,1,1,2,2,3,1,5,6,,,,,,
1,1,1,1,1,1,1,1,1,1,1,5,2,2,5,1,Dave always explain a lot.,"Dave please not drink too much coke, it is bad for health.",learn how to think,too much assignment ,,I love Dave's class.....
1,3,1,2,1,1,2,1,1,2,1,2,3,1,4,6,talks very loud[nl]draws picture on whiteboard when it comes to tricky stuff,"find some new jokes to tell (ex. personal experience with X in scenario Y), almost all the jokes told in class this term can be found in http://stackoverflow.com/questions/234075/what-is-your-best-programmer-joke and some of them are like 6 years old",Q0 of every assignment - helps to get started,would prefer to have more assignment/exam-related stuff in lecture slides (sometimes after looking at slides I'm still not sure how to even start an assignment question),No comment,room's got great lighting - much better than my last term's CS class (in QNC 1502)
1,3,1,1,1,2,1,1,1,1,1,4,2,1,5,6,See comments below.,See comments below.,See comments below.,See comments below.,See comments below.,"I just want to start off by saying that this course with Dave Tompkins has been hugely rewarding. I really enjoyed working on all the assignments and although (I didn't ace all of them), I went back and figured out what I did wrong, and learned a lot that way. I attended all of my lectures except I believe 2 (due to interview conflicts), and I regret not attending those. This course has been pretty challenging and I've taken a lot from it.[nl]Part of what made this course great was the way it was taught by this SPECIFC professor. I think many professors don't know that Computer Science is NOT a prerequisite to getting into Computer Science in Waterloo. So when they teach a concept that I guess at this introductory level is quite basic to THEM, they forget that to a person learning it for the first time, it could be quite challenging.  For instance, in another lecture of CS 136 (by another professor), we were learning loops. The teacher covered while, for, do loops, diagrams using loops, all in less than 5 minutes. Within 7 minutes, we already had 2 clicker questions of which the majority of the class got it right (generally because a lot of the students who are here tend to have programming background). There were no second chances given to those who failed, and within 10 minutes we were already knees deep into the next topic. To top this off, the assignment due that week required you to create various diagrams using loops (which isn't exactly easy, again, if you haven't had any imperative/objective programming experience). To top THAT off, you were expected to come up with a diagram on a written midterm using loops, not too many days after that assignment, where you had to reproduce what you had learned, or lets say, mastered within those 5 minutes of class. Go get help? Ask a teacher? Try to ask another student? Asking other students is forbidden. Or at least, it was that term. Going and getting help is pretty tough because if you want to understand it, and a similar problem is in the assignment, TA's and profs are going to be EXTREMELY hesitant to help you. You are basically cornered into your own little world where you have to figure out, what's going on. Dave tried to cushion this hard hitting blow, by stepping through everything and going through each concept step by step. This really helped. What made him better was where other profs would ""assume"" concepts are basic and skip over them, or make fun of how ""easy CS 136"" is, Dave actually realizes that certain concepts are tough and highlights them, so students know. This is less discouraging to those who are serious about pursuing CS as a potential career. Of course, he too, was limited by the fact that he had to cover a certain amount of material before the end of the lecture, but what him different than the other prof above was that at least he tried to make the effort in whatever time he had to try to convey to students material in the best way he could. If you're a spectator reading this and are asking aren't there many problems to practice with of which solutions are provided (within the course)? And the answer is no. Usually a concept is taught, you are expected to master it within a short span of time, and if it's hard enough or could trick a lot of people, it will probably be on the final. If you ask for other practice questions, you are simply asking for it. And by it I mean a really hard time. Which brings me to my first suggestion to the improvement of this course. There needs to be MORE practice problems. At least 10-15 different types of those diagram questions, way more practice questions with stacks, and efficiency questions, way more practice with pointers, BEFORE the assignments, ones which are provided with solutions, so students can actually try to understand what's going on and not just get 1 chance (the assignments to do well). This semester, they tried to implement this using ""warm up"" problems, which helped quite a bit, but they are still not enough. There needs to be MORE questions that target the assignments an midterms/finals to practice, because right now, there simply aren't that many. I will address tutorials in a bit, if you are wondering ""Well we have tutorials!"".[nl]The following few suggestions are EXTREMELY controversial. But they are important because they target the scarce population of CS students who do not have that strong a background, and are actually trying. I don't figure they'll be implemented in CS 136 for a while but if they do, it'll help a lot! I mentioned before that if you want to get help for a topic that you learned lets say this week, and in an assignment due next week, that topic is on the assignment; then that it's really tough to get help. That brings up another issue that I want to mention. Some TA's and ISA's are extremely paranoid. It's not their fault. They are simply trying their best. But, they are scared they might get in trouble by ""helping too much"". This is plain stupid, and needs to be addressed. Before going any further, I would like to give an example. After spending hours on a question, and coming up with a solution that seemed most right to me, but dealing with the same error time and time again from RunC (which they are planning on getting rid of), exhaustively trying out different options, and implementing the solution in ANY way I could think of, I ask the question on piazza privately. The response I get back is that I am not allowed to get any help because the instructors are not allowed to debug my code. I didn't learn anything from that experience. Moreover, I fell drastically behind because I didn't learn anything there. I had to go and get help the next day with another TA, who told me exactly what I was doing wrong and where I was wrong conceptually. I made notes, and knew I had to remember this for the future and understood why C was not being compliant. This in turn, made me a BETTER debugger. In the second scenario, I learned, the TA practiced (what he wanted to do in the first place), and we both won from the situation. I understand that if a student coming to a TA or prof for help for a question that is way off and wants to simply get the question over with so he could move on, then, THAT is wrong. But if someone is actually trying to figure out where they went conceptually wrong, has spent considerable time on the question, and they are close, then it doesn't make sense for an ISA/TA to deny help. You are simply being an obstruction to the students' learning and jeopardizing your own future in Computer Science. I'll give an example. In spring term, I overheard a TA in Spring CS 136 saying ""Now that you guys are generally typing 100's of lines of code, I won't be able to analyze it."" This was a pretty awkward statement, especially since if you're choosing this line of field, you will most likely have to become comfortable with looking at 1000's if not 100's of thousands of lines of code on a daily basis. I figure that is why TA's and ISA's take this job in the first place. If they are not allowed to ""debug"" other people's code, when they are close to a solution, there is really not much other experience they can get from taking this job. Sure they might be able to provide great feedback on what's going wrong with runC or make clarifications on the assignment, but they aren't really learning a lot from being an ISA if they are not allowed to debug other people's code. This ban, needs to be addressed. Denying ISA's their right to debug other students' code gives them a reason to not do something that is potentially going to help them and other students. It is a LOSE-LOSE situation. On another note, tutorials for assignment (B) need to occur the day after assignment (A) is due. This gives students more time to start and get back on track if they are struggling in the course. Tutorials held on Monday, give students 2 days to prepare for the assignment if the questions are challenging (and they always are). Either keep the assignments due on Friday, or make the tutorials the day after the previous assignment is due. On my next point, this course is pretty inconsistent. In Winter 2012-2013, they had release tokens, so that severely helped the students do better on the assignments. In CS 135, they actually provided you with solutions to every question after the assignment was marked. They don't do that in CS 136, but apparently, they are starting to realize that not providing solutions doesn't make sense, so they provide some solutions this year. In spring 2013, they took away release tokens and told the students ""that the course was going to be made easier because they removed a topic"", which wasn't true, because what ended up happening was that they just ended up making the assignments extremely brutal. In spring 2013, there were no coursenotes, no warmup problems, no solutions to problems on assignments, no discussion whatsoever allowed on piazza regarding how to do the problem itself, reduced office hours, and no option to check if you got a problem right after the deadline, no practice midterm before the midterm. Moreover, the assignments were confusing, complicated and unnecessarily difficult. This ended up making the course actually WAY more difficult and I believe the average on the midterm sort of reflected this (It was around 65% that term, and the professors didn't ""feel"" like doing too much about that, specifically quoted from one of the professors). A lot of students who tried their best got screwed, but the few people who did extremely well in the course sort of took away the reality of that term. I am confident if the students that struggled had all the resources that are provided to them this term, that they would have succeeded, but the inconsistency is to be noted. On another issue, there were a few people who were doing assignment 6 while the class was doing assignment 8 (they ended up getting extensions for certain reasons, etc). Essentially they got over 2 weeks extension and no penalties. I have nothing against other people getting extensions, I understand everyone goes at their own pace, until this term when I was really pressed in a week and asked for some more time to work on A7. This term, I had 2 midterms on the same day (on Thursday) the day before the assignment 7 was due and I asked for an extension on one of the more longer assignments (which required you to manually find the efficiency of each type of function), and I got a 24 hour extension. I was glad that I got the extension, except couldn't finish the last question. When I tried to negotiate on having a little bit extra time on the last question without the penalty (which was extended for the entire class for another 2 days), I was simply denied. This didn't make sense to me because I knew in the past that students were allowed more time for Assignment X without penalty if they had a good reason, even if the class was doing Assignment X+2. I had a pretty good DAMN reason, and I provided proof and everything, but I fell behind in the course afterwards, which was quite frustrating. Students should be able to have at least the same EXTENSION as the LATE EXTENSION (48 hours) if they are provided one. Especially after assignment 6, the assignments tend to get more challenging, and simply require more time. 24 hours is simply NOT enough time, and again, did I mention that certain students had WEEKS to do previous assignments with absolutely no penalty at all? If students have a good reason, and they need a little more time to work on assignments and they ARE TRYING to work on it, then it doesn't make sense to penalize them. What made this really ironic, was the fact that the previous assignment was pushed (without penalty) to Sunday, because of the fact that a large group of students had midterms that week. BUT when I ask, for some reason, and this happened before too, I ALWAYS get the short end of the stick. Wasn't there a year when they did an experiment in CS where students could hand in the assignments whenever they want, before a deadline, and every other week or something? Everyone learns at their own pace and if they can justify a good reason, then they shouldn't be penalized. I can't stress how important this specific point and the next one is (they both tie in together). Which brings me to the (max + min / 2) rule for late extension. It is rare that a student passes most of the tests. Generally they get them all right, or all wrong. If they are all wrong, or if they are one of those students who typically require a little bit longer to do the assignments, then they get 0, and the max they can now get is 50%. There are no release tokens, which WERE provided last year. And even though they took out heap from the course, it really didn't make CS136 that much easier. Release tokens are ALSO provided in upper year courses like CS 246. They make sense. The max/min rule doesn't. Students who are already struggling in the course now get a 2nd chance to get half of what they could've gotten if they had more time. This is plain demoralizing. Either let the students have a bit more time to work on the assignments without the penalty, or bring back release tokens.    On another note: the lineups the day before an assignment is due. They will never go away. But, if there are extended office hours at night, or extended office hours starting 2 days before an assignment is due instead of the day before, then this will really benefit a lot of students. The earlier tutorials will help this factor as well. And again, if professors hold more office hours (because they are less paranoid than ISA's), then none of what I suggested above is necessary. BUT they would really have to extend it quite a bit, not just add like an additional hour and feel great about making a change in this course. I mean, really EXTEND and INCREASED frequency.[nl]The length of the midterms and the material within them are generally a point of discussion every term in CS 136. Part 1 is short answer and theory behind C; it makes sense. Part 2 is similar, so it makes sense as well. You can't really practice part 1 nor 2, you would just have to review notes. So that's fine. Part 3, the debugging part, used to be worth only 5 marks because (it's extremely time consuming for the student to look for mistake, track it, and figure out how to fix it;) but for some reason, they made it 7 marks this year. Also this year's was with pointers, which we don't really get to practice with a lot until later on in the course. More practice questions of type 3 is necessary. Part 5 the loop diagram, I think I have spoken enough about it previously. More practice questions, way more, is necessary. Part 6, you guys introduce your first stack question with pointers. For some reason, it is a common tendency to introduce new material on the midterms. I don't understand this, and it's extremely difficult to adapt to. If things are this are going to be put on the midterm, AT LEAST, provide sufficient practice to the students beforehand.  It was not the case for problem 6. Problem 7 was review of Scheme plus setbank so it was fine. Problem 8 was kind of challenging, but if you attended the tutorials, you should've been prepared for it. Problem 9, was mentioned was going to be on the midterm. In general, the material introduced in the midterm need more practice questions. It shouldn't be the case that students see it once, and then the next time they're seeing it is on a midterm. This is not the way a course should work. But as of now, it is. The students see it on the assignment, and then next, on the midterm. In many math courses, they spend a long time going over (problems, and different type, so it doesn't feel that awkward for the midterm/final, but here, it does!). Also, introducing new material on the midterm places students in a really awkward position because they're under a time constraint. In Spring 2013, they did the same thing. They had a question where they introduced accessing values from pointer to pointers (essentially double pointers) on the midterm, and it was extremely difficult to adapt to it. Again, if questions like those are going to be given, there should be a volume of questions students should have to prepare from before entering the midterm. They are trying to stop this in other courses as well, because it does NOT make any sense. There are 4 programming questions on the midterm, plus debugging, plus writing theory, and a bit more extra stuff. In an assignment there are 5 questions and you have a week to do them. Even if you argue that they are longer, it doesn't change the fact that the midterm length, is extremely long. Students have definitely (I am confident) put this into question in the post midterm-clicker-question-evaluation sessions, but NOTHING is being done about it. The midterm length seems to be getting longer, if anything. THE MIDTERMS ARE TOO LONG. In conclusion, I apologize for making this review more focused towards CS 136 and less about the way Dave taught the course. I tend to target things that I see need drastic improvement. I care about the program that I am in. I need to graduate and I will graduate, and in doing so, I will have made sure I have learned plenty. When people ask me what's great about your program, right now, I can't really share much other than the fact that it's very challenging. Until this term, I couldn't even say the professors are great in Computer Science. The truth is, I know that we have the resources, just we aren't really using it in the right way. What's harder is that there aren't too many people wanting to bring change in here, and those who do want to, get cast aside pretty quickly. It's extremely tough fighting an entire faculty when you are not in the majority. And if you're in the majority, generally you just want to get this over with and move onto the next thing."
2,4,2,3,2,6,3,2,1,2,1,5,2,2,2,6,,,,,,
2,3,2,2,2,3,2,2,1,2,5,5,2,2,1,2,,,,,,
2,3,2,2,2,6,1,1,1,1,1,5,3,2,3,1,good,good,good,good,good,good
