mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,1,1,1,6,1,1,1,1,1,3,3,3,3,,Dave explains concepts extremely well -- at a level that is easy to understand and in a clear and concise manner.  He's also extremely funny and keeps the course interesting!,Dave could go a little slower during some lectures.,"The course was challenging, but in a good way.  It helped me group concepts and truly understand the main points in each module.  All assignments were also a lot of fun to do!","Not a lot of proactive questions are supplied for midterm exams, which can be tough because written code is different from typed code (I'm not used to it!)",Class atmosphere was always positive.,
1,3,1,1,1,6,1,1,1,1,1,5,3,3,3,,Very fun and enjoyable lectures compared to others!,,,,Positively,Good classroom size.
1,3,1,2,1,2,2,1,1,2,5,5,6,2,4,,Dave was fun and his use of visual aids involving himself and the piece of piece of paper for fold right.,,,,,
2,3,1,1,1,2,1,1,1,1,2,3,3,3,3,,"Very good with using (humourous) analogies to understand difficult concepts.  Good with mixing up learning strategies, introducing interesting ways to teach concepts (low voice, high voice for mutual recursion)",Very hard to come up with something he could do better,Recursion was taught very well,"Different types of recursion (generative, accumulative, structural)","No prejudices to gender, race, ability or appearance that I could see.",
1,3,1,1,1,1,1,1,1,1,3,3,3,3,2,,Dave is very engaging.  The way he makes students laugh makes a lot of the more difficult material more approachable.,I wouldn't want to be taught any other way.,Assignments were fair and enjoyable.,The testing process was very arduous.  I believe students should be capable of testing their programs on their own.  Marking for hard-coded tests is lame  (that's just my opinion though).,"I didn't notice any negative effects.  I'm also male, white 90+ average and attractive so I don't know if I would pick up on stuff like that.  There were jokes that Dave made about his obesity which might have been harmful.","The speaker in the room, if left on, was loud and hissy.  Room was a good size for the class."
1,3,1,2,1,3,2,1,1,1,5,5,3,3,3,,"Very good at explaining things, did a great job of providing examples during lectures to make content more easily understandable.  Made lots of jokes, which maintained a good atmosphere.",Did a good job introducing Scheme to individuals such as myself who had past programming experience -- very comprehensive.,"Pace of material was inconsistent.  First month was too slow and easy, while at the end was many times faster.  This is reflected in class average on assignments.",,"Class size was good, as was the classroom setting.  Wouldn't have been nearly as effective a learning atmosphere if it was in a lecture hall.",
2,3,1,1,2,2,1,1,1,1,1,2,3,3,3,,Keeping the class involved through jokes and examples.  Covered the material in an interesting manner.,He should offer up more varied examples when available.,"Recursion, BSTs and graphing.  The constant jests of humour.",The slower speed at the beginning of the course.,The atmosphere was affected positively by the instructor due to his occasional jokes and overall positive attitude.,This class was one of my favourites.  I always looked forward to coming to it.
1,2,1,1,2,1,1,2,1,1,5,5,3,2,3,,Very well overall.,Not enough examples with lambda / local stepper questions.  They aren't explained very well in the course notes either.,Everything (almost).,"I wished it used another language (java, c++, etc.)",Positively. Very good.,Class too small.  Every class there are people without a desk at the back.
1,3,1,1,1,6,1,1,1,1,1,3,6,3,3,,His enthusiasm made it impossible to not be interested in the material; he is a very effective speaker / teacher.,,"The assignments were interesting, but not impossible.","The choice to teach certain material didn't seem to be justified in class (ex. the difference between the 3 types of recursion, when it seemed like knowing what recursion was and being able to apply it in different ways would be enough).",,
1,3,1,1,1,6,1,1,1,1,2,4,3,3,4,,Everything (seriously),Nothing: everything was perfect,Recursion,,Class atmosphere was great! Dave is a really good instructor.,"Even though I'm probably going to finish with a low 70 and I'm switching into CS 116 next term because I'm not a CS major, I really enjoyed my time in CS 135, despite the extra course load, because of Dave.  He really made the course bearable and always had us well prepared for the assignments.  Keep doing your thing Dave! :)"
