Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
617622,2019-07-29T23:35:34.490608,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
614683,2019-07-26T01:20:09.930523,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
615766,2019-07-27T15:32:48.336367,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Strongly Disagree,0,"Never got any feedback, don't even know what we do wrong in the assignments/quizzes",Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The organization of course material,,,Communication with the students and feedback,,,Send out more emails so the students who are not always logged into learn can know about things such as early assignment due dates. Also create a way for students to see what they have done wrong on quizzes without having to ask a TA
610955,2019-07-24T15:25:16.763522,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Below 50,0,,Elective,1,,Much more than 10 hours,4,,,,,,,,,,
609281,2019-07-23T17:28:17.087733,,,,Strongly Agree,4,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
612199,2019-07-24T20:31:37.997054,Strongly Agree,4,,Strongly Agree,4,,,,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
599973,2019-07-17T17:09:17.574108,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Disagree,1,,Strongly Agree,4,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,More than 10 hours,3,,,,"Help on common errors 
Assignments are application based which is great for learning ",,,"Questions in quizzes are too technical
Quizzes are difficult 
Some transcripts especially for boolean  and hexadecimal conversions are hard to follow, have to watch video. Video isn't the bests.

The worst thing is assignments are released at particular times. It would be better for schedule basis if they were released earlier for those who want to get a head start. It's hard to do the assignments when they are in a window. ",,,Update transcripts for those who prefer reading
596309,2019-07-16T15:44:06.743177,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,practical assignments where one needs to work with relavent softwares and codeing languages.,,,Lack of video/audio lectures for an online course. Text information was vary dry and unmotivating to focus on. It felt like the qualiy of the modules dropped further into the semester. (perhaps around when the penalty for dropping the course becomes worse),,,I think the course content can be improved. More video lectures and use of image on the text content. I think free online courses are more engaging in this aspect. I don't think this whould be the case for a university course where one does not feel comfortable dropping a course half way through the semester.
595510,2019-07-16T12:11:35.542553,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Around 10 hours,2,,,,"the videos were awesome, and having the transcripts available helped a lot as well. This really catered to various types of learning. ",,,"this course is very heavy, some of the assignments took hours to complete regardless of the topic. Compared to my other online courses I had to work extra hard in this one to succeed. ",,,
615839,2019-07-27T18:17:12.311718,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
