Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
337356,2017-11-28T16:36:48.777411,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
363848,2017-12-05T00:34:53.367730,Good,1,,Too high,0,,Good,1,,,,,Satisfactory,2,,Sometimes available,2,,Very interesting,0,,Good,1,,75-90%,1,,Very helpful,0,,Very helpful,0,,Helpful,1,,Somewhat too much,1,,Too much,0,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
328741,2017-11-24T21:42:48.239851,Good,1,,Somewhat too high,1,,Satisfactory,2,,Good,1,,Good,1,,Usually available,1,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Too much,0,,Somewhat too much,1,,7-10 hours,2,,,,"Good analogies, humorous ",,,"Clearly something is much harder than something else. For example, abstract list function is 10x more difficult simple recursion. However I feel like the amount of time spent on teaching them is the same ",,,Good introduction course to Cs ,,,"The last half of the course made me giving up Cs 136. Maybe because I am simply not smart enough, but everything just super hard suddenly ",,,Positive,,,Good 
326261,2017-11-24T04:10:25.318085,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,The instructor was very engaging and had a very fun teaching style. He went in depth just the right amount with all of the topics and demonstrated how to apply the material into actual coding. ,,,"During the beginning, I found the speed of the class to be a bit too slow. Some of the earlier concepts could have been went through a bit faster and more examples could have been demonstrated.",,,The course really went over the basic foundation of coding and made me realize the importance of have organized and clean code. ,,,The course could go more in depth with some of the later sections such as abstract function classes and went less in depth with the more basic sections. ,,,Positively. The other students were all respectful to each other and concentrated on the class which created a positive learning atmosphere. ,,,The class size was just right. 
345069,2017-11-29T18:23:10.700736,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Not helpful,2,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,Explanations and analogies were excellent.,,,Already really good.,,,"The fact that we start of in a language most people haven't done, therefore everyone is on a fairly level playing field.",,,2 classes a week didn't feel like enough; would have enjoyed more class time.,,,Overall positive.,,,"There were too many people for the size of the classroom, but the number of people total wasn't bad."
343942,2017-11-29T17:25:51.938827,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,> 15 hours,4,,,,Excellent. Very engaging and inspiring. This is my first ever computer science course and Dave made it the best it could be. ,,,Spending more time on Lambda. ,,,Well structured,,,Some assignments are too hard.. E.G THE TRIE,,,It has a positive impact.,,,Class size can be smaller.
329231,2017-11-25T16:33:45.391548,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,Very helpful,0,,No opinion,5,,Right amount,2,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
325324,2017-11-23T21:48:49.376313,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,only focused on right side of room for slide screen,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Somewhat too little,3,,Right amount,2,,7-10 hours,2,,,,"I like the lightsaber
I like the mood",,,"talked about katy perry too much, I like taylor swift more
mutual recursion explanation was a bit cringy so i didn't grasp it as easily loool",,,"fun learning fundamentals
beginning assignments were too easy so I could focus on fully understanding",,,"maybe just the language, and hard to grasp the latter assignments, the rest of the stuff was cakes",,,no it's always great,,,"best class of 1A, always excited to enter the room. I loved watching kubo!!!!!
[Verse 1]
My castle crumbled overnight
I brought a knife to a gunfight
They took the crown, but it's alright
All the liars are calling me one
Nobody's heard from me for months
I'm doin' better than I ever was
'Cause

[Chorus]
My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

[Verse 2]
All my flowers grew back as thorns
Windows boarded up after the storm
He built a fire just to keep me warm
All the drama queens taking swings
All the jokers dressing up as kings
They fade to nothing when I look at him
And I know I make the same mistakes every time
Bridges burn, I never learn
At least I did one thing right
I did one thing right
I'm laughing with my lover, makin' forts under covers
Trust him like a brother
Yeah, you know I did one thing right
Starry eyes sparkin' up my darkest night
 

[Chorus]
My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to

[Bridge]
I want to wear his initial on a chain round my neck
Chain round my neck
Not because he owns me
But 'cause he really knows me
Which is more than they can say, I...
I recall late November
Holdin' my breath, slowly I said
""You don't need to save me
But would you run away with me?""
Yes (would you run away?)

[Chorus]
My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to
 

[Outro]
(Call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
Call it what you want, yeah
Call it what you want to"
337757,2017-11-28T16:54:47.948417,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,I like that the blackboard is sometimes used to clearly go through steps of more complex problems. It compliments the use of slides /live coding nicely and explains concepts well.,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,"I think the instructor has done a good job explaining the material to students. In particular, I appreciated certain analogies such as the ""clone"" for recursion because it made concepts significantly less abstract. I also liked the live coding because it gave me insight into how I should approach similar problems since we walked through the problem together.",,,I think the instructor did a perfect job teaching the course.,,,The strong points of the course were the interesting material covered and the assignments. I liked assignments because they got me to apply the concepts I learned about in lecture which benefited me on exams.,,,,,,The atmosphere of the class was overall very positive. There was no sort of discrimination. ,,,"Although this was my largest class, the noise level and ability to communicate with the instructor were both good so I would say the class size was suitable."
331293,2017-11-27T16:18:53.654738,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Not interesting,2,,Excellent,0,,75-90%,1,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
323659,2017-11-23T18:36:00.061727,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No text required,3,,Somewhat too little,3,,Right amount,2,,3-6 hours,1,,,,Good analogies.,,,Bring in more props.,,,Good intro to coding.,,,Not good for getting first year co-ops since idk any places that use Racket.,,,Positive. No discriminatory stuff.,,,"Quiet, easy to listen."
324423,2017-11-23T20:02:04.019823,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,"Great organization, energy and pace. I was so scared of recursion coming in from high school but this course introduced it in such a nice way.",,,Align more with the course notes. I like your examples a lot better than the ones in the notes but I tend to have the notes open during lectures so it would help if you explained as you moved forward in slides.,,,"Excellent overview of basic programming concepts. I actually liked the design recipie, especially the contract because it helps when writing recursion. ",,,"I don't really like writing templates, especially since the definition of a template is very vague so I never understand how specific I should be when writing them
",,,Positively since it wasn't affected negatively.,,,Some of the chairs are weirdly small or broke. I once scratched myself on a broken chair.
330697,2017-11-27T14:40:37.128788,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not helpful,2,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,The jokes he made to keep us awake at 1:00 p.m. when people usually start to be sleepy ,,,"Nothing else can be imporved, he is the perfect ",,,Good example ,,,too much work ,,,the atmosphere was great in the class through out the year ,,,Nope :D
362396,2017-12-04T19:23:13.042037,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
325835,2017-11-24T00:13:33.586171,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No text required,3,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,I liked how he used many analogies to explain the concepts. It helped me understand the concepts better and remember how they work (ex. mutual recursion),,,"For some of the code that he does and it isn't on the slides, it would be helpful if he posted them on the course wesbite.",,,The stepping rules we learned are very helpful because they helped my go through my code and try to debug it.,,,"It starts off very slow introducing the basics like cons and stepping. Then suddenly after the midterm, the concepts are a lot more abstract and less time is spent on them. This makes the end of the course feel really rushed and makes it difficult to understand the new concepts.",,,It was a respectable environment,,,"The class size seemed to be bit overflowing at the beginning, but later the class size seemed to be smaller. "
341709,2017-11-29T03:31:44.404865,Good,1,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,Helpful,1,,Right amount,2,,Somewhat too much,1,"For some assignments, the questions are too complicated. ",> 15 hours,4,I spend most of my study time on this course ,,,He is perfect,,,I want to see his hula-hula dance before evey chapter.,,,It contains the basic techniques of programming. ,,,sometimes it is hard for students who just start programming or have limited time on this course ,,,Y everybody here is so smart?? Am i a stupid monkey with human face? Those questions really bother me,,,So far It is good
323707,2017-11-23T18:43:28.490700,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Not helpful,2,,Somewhat too much,1,,Too much,0,,11-15 houts,3,,,,The instructor is very good at grabbing my attention,,,The instructor can use more visuals than just codes and slides.,,,"slides are well prepared
course is stuctured",,,"not enough visuals
examples are simple and boring",,,The instructor makes funny jokes to lighten the mood.,,,Room is a little cramped.
330822,2017-11-27T15:10:11.767325,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,,,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,Good explanations of course material in class. Good showing examples using racket in class. Good attracting students attention in class.,,,Show some more harder example in class if possible and skip a little bit too easy examples.,,,Learn a lot new knowledge on racket. It makes me fall in love with it :). never gonna like java.,,,"Assignment is a little bit too hard, which I mean is time consuming. Always spend a lot time on assignment.",,,"Positively, dave is good at create a good atmosphere in class and positively affect students' idea from all perspective.",,,Room size is a little bit small compared with the class size. And it is a little bit too hot in the room.
357935,2017-12-01T19:24:39.703704,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
330724,2017-11-27T14:43:40.208363,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No text required,3,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,"The high voices and low voices are very helpful in explaining mutual recursion. When I need mutual recursion, it reminds me of the two voices.( Maybe add another medium voice next time :) )",,,,,,Explicitly recursion.,,,"Built-in list functions, such as foldr",,,Positive!!,,,Very interesting prof and explains materials very well
349632,2017-11-29T21:57:31.508771,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No text required,3,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,Explained the concepts very well and made the content very enjoyable and engaged the students.,,,Perhaps explain concepts in assingmerts a little more,,,"Engaging with the course material was great, the instructor presented the material in an easy to understand fashion, and the course flowed into the next week easily/",,,"assignment sometimes used concepts that were similar to class but at times were a little to hard, but rarely happened.",,,"Atmosphere was great, students were generally active in class.",,,
327168,2017-11-24T16:38:51.153613,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,Making the class interesting and engaging.,,,More thorough explanations for examples would be nice. ,,,The start from scratch to learn functional programming.,,,End of the course feels rushed. ,,,None.,,,None. 
344762,2017-11-29T18:06:24.288852,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Good,1,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,No printed notes,3,,Very helpful,0,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
