mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,2,1,1,1,1,2,2,2,2,5,3,3,3,,,,,,,
1,3,1,1,1,1,2,1,2,2,1,3,3,1,5,,,,,,,
2,3,1,2,1,6,2,2,1,2,2,4,1,1,5,,Tried really hard to get students interested in the lectures and materials.,One coke per lecture is way too much.  It's not good for your health.,,"Too much work, and the midterm was a disaster.",,
1,1,1,1,1,1,1,1,2,2,1,4,3,1,5,,All good except that the assignments and exams are too hard.,The assignments and exams are too hard.  Make it easier please.,,,Positively.,
2,4,1,2,1,2,1,1,3,1,3,4,2,2,5,,Excellent oral presentation.  Jokes.,Sometimes move too fast.  Should slow down and explain more.,Challenging and interesting.,A little bit too challenging.,,
3,3,3,3,2,2,2,1,1,2,2,3,3,1,5,,"Examples, analogy.",Handwriting.  The progress of teaching is too fast compared to other terms.,Can imply things to practice.,The lecture material does not help assignments.  Assignments may be too abstract on what to do.,Some people ask irrelevant questions: this takes a long time.,
2,2,1,2,2,3,2,2,1,2,2,5,3,2,4,,Good use of diagrams and examples to clarify topics and explain them in detail.,"Not much explanation in class about 'bigger picture' things.  Such things include what is needed for synchronization, why virtual memory would need file systems for storage, etc..  Basically, more explanation about how each topic fits together would be appreciated.  Also, work on the amount of time you give for each assignment.",,,,
2,3,1,2,2,2,1,2,1,2,2,5,2,2,5,,Good oral presentation.,Go slow when teaching the key concepts.,,,The classroom atmosphere was positively affected as Dave answered most if not all questions from students with positive attitude even if students asked stupid questions.,
1,3,1,2,1,1,2,1,1,1,2,4,2,1,5,,Dave is the most enthusiastic prof I've ever had in UW.  Excellent oral presentation and keeping every class interesting.  His Piazza response time was really short and nicely handled :),I don't understand old jokes :(,,Heavy work load.,This one student asks too many questions and makes unnecessary comments.,
2,3,2,1,1,1,2,1,1,2,1,4,2,3,3,,,The wording for questions on the midterm.  I could have done way better on the midterm if I was able to understand exactly what some of the questions were asking.,,,,
1,3,1,2,1,6,1,1,1,1,1,5,2,3,3,,Engages students during lectures providing plenty of examples and answering questions.  Provides relevant examples from real world applications to enforce learned topics.,,Interesting and relevant material.  Very helpful to understand how operating systems work.  Ties all of the prerequisites nicely together drawing on knowledge from them all and demonstrating their significance.,,Fine.,Fine.
2,3,2,2,1,1,2,1,2,2,5,5,3,3,3,,Clear explanations.  Humour.,More prepared non-slide visual content.,Very helpful introduction to low-level and concurrency concepts.,"Not enough time to cover the second half of the course, i.e.: assignment 4 & 5 are not assignments.  Should probably consider splitting into two courses so it become an 8-month course.",,
1,3,1,1,1,1,1,1,1,2,1,5,3,2,4,,"Passionate, funny and explains the course material in an easily digestible manner.",,,Assignments take a long time to complete.,Instructor brings a jolly atmosphere to the class.,
