Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
199921,2017-03-21T13:53:46,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No text required,3,,No opinion,5,,Somewhat too much,1,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
199922,2017-03-21T13:55:16,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,Helpful,1,,,4,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,"Excellent presentation, makes the class funny.",,,,,,"A lot of new content, which is applicable in real life.",,,,,,"No. Class atmosphere was great, because the class was constantly funny!",,,
199923,2017-03-21T13:55:23,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Not interesting,2,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Too much,0,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
199924,2017-03-21T13:55:23,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
199925,2017-03-21T13:55:33,Excellent,0,,Too high,0,,Excellent,0,Piazza trolling but it's understandable,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,,4,,No opinion,5,,Right amount,2,,11-15 houts,3,,,,Everything,,,N/A,,,Everything,,,N/A,,,N/A,,,N/A
199926,2017-03-21T13:55:40,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,,4,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,Everything,,,,,,,,,,,,,,,
199927,2017-03-21T13:55:49,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,,4,,Right amount,2,,Somewhat too much,1,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
199928,2017-03-21T13:55:52,Excellent,0,,Just Right,2,,Satisfactory,2,,Good,1,,Excellent,0,,Rarely available,3,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,> 15 hours,4,,,,,,,,,,,,,No materials to study for exam other than course note.,,,,,,
199929,2017-03-21T13:55:55,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Sometimes available,2,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,Good oral presentation,,,,,,A good introduction to C language,,,Almost perfect,,,,,,
199930,2017-03-21T13:56:09,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Very interesting,0,,Excellent,0,,75-90%,1,,Helpful,1,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
199931,2017-03-21T13:57:32,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Good,1,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,He explained so well and made the course interesting.,,,,,,,,,the heap part,,,,,,
199932,2017-03-21T13:57:44,Excellent,0,Dave Tompkins = 10/10,Too low,4,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,,4,,,4,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,Everything.,,,Content in lecture maybe a little higher.,,,Everything.,,,Dr. Dave Tompkins still being on contract.,,,No comment.,,,No comment.
199933,2017-03-21T13:57:51,Excellent,0,,Somewhat too low,3,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,,4,,,4,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,"Great presentation, very easy to follow and understand",,,"N/A, maybe less racket",,,Arrays and pointers,,,Beginning was slow,,,Atmosphere was efficient for enjoyment and learning,,,"More Dave classes, his lectures are very good for teaching, and this course sets a basic understanding which is crucial to done well"
199934,2017-03-21T14:00:12,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Not helpful,2,,Not helpful,2,,Right amount,2,,Somewhat too much,1,,3-6 hours,1,,,,Made the lectures more fun,,,Use of analogies,,,Loops,,,Too many assignments,,,Positively,,,!!!
199935,2017-03-21T14:01:05,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,,4,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,Take a bit too long to field the advance questions that made the lectures really long,,,Repeating the concepts too many times in some cases,,,"It's fun, the assignments are cool",,,the course notes could be more straight forward,,,,,,
199936,2017-03-21T14:01:32,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Good,1,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Somewhat too little,3,,Somewhat too little,3,,11-15 houts,3,,,,Very fun and interesting,,,There are times when the material is sleep inducing. More interesting analogies for those parts please.,,,,,,Does not explore much advance and applicable stuff. The textbook should be used more.,,,,,,
199937,2017-03-21T14:02:40,Excellent,0,,Somewhat too high,1,,Excellent,0,,Good,1,,Excellent,0,,Did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,Great job engaging students and explaining course content. Really made the course more interesting than it really is.,,,Dave's perfect just the way he is,,,Interesting and useful content,,,"Textbook was never used, course notes pretty much make them redundant.",,,n/a,,,
199938,2017-03-21T14:02:47,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,"jokes were interesting and attractive, I mean, those were great attention grabber, and the instructor is funny. In all, best lecture I have ever taken! btw, what other courses does Dave teach?",,,,,,,,,,,,,,,
199939,2017-03-21T14:04:25,Excellent,0,,Just Right,2,,Excellent,0,"Although sometimes he tries to answer the question ""too well"" that it takes time out of lectures",Excellent,0,,Excellent,0,,Rarely available,3,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,Analogies are the way to teach computer science and Dave has done a great job of relating funny analogies to help us understand abstract concepts such as data structures and other computer science topics.,,,Although the answers to students questions are very in-depth sometimes they trail too far away from what is expected of a regular student in the course (sometimes we spend too much time on advanced topic slides and hypothecial situations). Don't get me wrong I think student teacher relations are great but maybe these more advanced discussions can be held in office hours.,,,Great presentation every lecture,,,,,,,,,
199940,2017-03-21T14:05:37,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Not helpful,2,,,4,Didn't use them,,4,Didn't use them,Right amount,2,,Somewhat too much,1,"Only at times though... you know those days when you have a paper, presentation and assignment due.",3-6 hours,1,"Just on the assignments. A lot of the time was wasted using Seashell and trying to decipher it's errors. Additionally, the lack of a built in debugging system (of the step-into variety) cause many annoyances.",,,"Lectures were really engaging and interesting, thanks for answering our numerous out-there questions!",,,,,,Good amount of info and detail.,,,"C is a great language for learning the basics, but for a course with the label ""Algorithm Design"", there's very little taught on the subject.",,,Not as far as I can tell.,,,
199941,2017-03-21T14:08:25,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,,4,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,"I think the lectures were very interesting and concepts were explained with very good analogies, at a level everyone in the class can understand.",,,"A lot of people asked a lot questions that were well above what we needed to know. By answering these questions a lot of class time was wasted for other students, and we had to rush through slides the next class. I understand that it is important that these students get their questions answered, but they can use office hours for these.",,,It was a great course that introduced C while transitioning from Racket.,,,"If the starting sections could be done a bit faster, but the later sections a bit slower.",,,Positively. Dave is awesome!!!,,,
