Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
398533,2018-03-28T13:38:16.313244,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
411319,2018-03-30T23:08:50.188679,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,Enthusiastic ,,,,,,,,,"the pace was inconsistent, the last modules were too fast compare to the previous one yet they are more difficult and require more time to talk about",,,,,,
398418,2018-03-28T13:36:21.091827,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
420594,2018-04-03T18:39:12.935958,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Very helpful,0,,Somewhat too much,1,,Too much,0,,11-15 houts,3,,,,He explained complex concepts very clearly,,,,,,Going to classes was effective ,,,Almost every assignment was way too long or not enough hints were given to complete it,,,Everything was good in class,,,
388167,2018-03-23T12:55:48.561879,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,"Dave is a dedicated, enthusiastic and creative prof who gains the interest of students in many different ways. His stories and jokes (although sometimes cringy) make the class fun and make him more relatable and approachable. ",,,Keep being awesome Dave!! Best wishes for your new baby,,,"The course provided a very effective approach to learning about imperative programming. The focus on memory, iteration and efficiency allow the course to teach more than just an understanding of how to write ""good"" code, but how to design practical and effective code with a deep knowledge of how every component works.",,,"Although there wasn't an overwhelming amount of content to learn in the course, there were very few examples or practice problems to use to really understand the content before the assignments. The assignments became almost the sole resource for practicing realistic and challenging problems. ",,,I do not feel that there was any particular affect. Everyone was respectful to each other in class and all students were treated fairly and equally.,,,The CS profs should run a D&D campaign (or Pathfinder)
398695,2018-03-28T13:41:26.382165,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,"The instructor did an excellent job of making lectures engaging and entertaining, making it much easier to learn.",,,,,,,,,,,,,,,
411803,2018-03-31T03:26:04.768436,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,vandalizes the walls,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not helpful,2,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,"- funny (sometimes cringy, but mostly funny) jokes!!
- the diagrams (esp for linked lists) on the board were really helpful!
- exciting, enthusiastic lectures",,,- drink a bit less coke zero? I'm kind of concerned,,,- learned a lot of C + memory and data structure concepts,,,"- assignments take WAY TOO LONG
",,,fine,,,fine
406707,2018-03-29T18:37:19.380509,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Not helpful,2,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,clear explanation. Dave is a professor who is NOT overrated:),,,,,,,,,,,,,,,
400603,2018-03-28T15:41:19.663500,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,50-75%,2,,Helpful,1,,Helpful,1,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
413344,2018-04-01T19:26:50.548987,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Somewhat too much,1,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
