Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
670306,2019-11-27T15:44:20.314540,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,,,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,nice prop!,,,,,,,,,,,,,,,
670831,2019-11-27T16:12:09.341681,Good,1,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
684002,2019-11-29T05:00:58.040728,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,Helpful,1,,Helpful,1,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
682267,2019-11-28T20:35:40.322176,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,,,,Very helpful,0,,Very helpful,0,,Too much,0,,Too much,0,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
690445,2019-12-02T18:11:45.750820,Good,1,,Just Right,2,,Good,1,,Good,1,,Good,1,,Sometimes available,2,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Too much,0,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
697544,2019-12-04T04:22:51.547704,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,75-90%,1,,Very helpful,0,,Very helpful,0,,Helpful,1,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
680811,2019-11-28T18:17:14.263258,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Good,1,,Sometimes available,2,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
672136,2019-11-27T17:15:10.680615,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,,,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,"Dave Tompkins is a phenomenal instructor. I never loved CS and it was always a pain point for me. However, leaving Dave's lectures I was rarely confused and often genuinely excited about the material I had learned. He truly cares about the success of his students and it shows. ",,,Nothing I can add. ,,,Important and relevant material,,,"The assignments do get difficult as the course ramps, but no weak points just have to stay on top of it. ",,,Positively. Dave is always very inclusive and supportive. ,,,Thank you for a wonderful term. This class (although one of my most difficult) made me smile. 
664578,2019-11-26T16:32:08.166520,Good,1,,Just Right,2,,Excellent,0,,Excellent,0,,Good,1,,Available,0,,Interesting,1,,Good,1,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Somewhat too much,1,,Too much,0,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
677146,2019-11-28T05:10:50.526859,Excellent,0,,Somewhat too high,1,,Good,1,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
