mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,2,2,2,6,2,2,1,1,1,3,3,3,3,6,"Telling some joke, good at adjust the atmosphere of class. ","When talking some hard points of this course, could you give more examples.",,,"the class has positive atmosphere, people never talk about those on lecture.","I think so far, it's ok."
1,3,1,1,1,1,1,1,1,1,1,5,3,3,3,1,Everything was so perfect.,"In my opinion, try not to change the way you teach.[nl]As already mentioned by so many others, animated pointer example would be amazing.",,,No.,
1,3,1,1,1,1,1,1,1,1,1,1,3,2,4,6,Dave is by far the best professor I have been taught by. He makes CS so fun and enjoyable. I never miss classes because it so fun. Assignments don't feel like work. I can go on and on on how awesome a prof Dave is.,Make him teach CS135 in fall too. I was going to drop out of CS because CS135 is so horrible,"Everything. Intro to C, extremely well thought of. Everything is linked in a coordinated manner. The slides make sense and everything just works in a good flow.","We are not taught how to use libraries, and make anything useful.",It was great.,None.
1,3,2,3,2,3,1,2,3,2,2,2,2,2,2,6,,,,,,
1,3,2,2,1,6,1,1,1,1,1,5,3,3,3,6,"I think Dave is a phenomenal professor - one of the best I've had at the University of Waterloo thus far. For me, Dave has been a large reason why I have enjoyed the course to the extent that I have.",,Organization of modules,,class atmosphere was positively affected by Dave's energy with regards to teaching the material,I think the tablet was a good solution to lack of board space in the room (RCH 307). I think Dave's use of analogies to relate to various topics was a large help.
1,3,1,1,1,1,1,1,1,2,2,3,3,1,3,6,Found Closest way from DC to RCH:),More songs before the class,Humour,Too long assingments,Positively),Amazing Prof
1,3,2,2,1,6,2,1,1,2,2,2,3,3,5,,"His analogies were really helpful, especially the one explaining the difference between functional and imperative programming.",,"Dr. Tompkins' lectures. I thoroughly enjoyed his teaching style, his examples, explanations, drawings and dare I say it? His jokes![nl]He was very relatable, something I haven't experiences with any of my instructors before.","The lack of clarification (and downright confusion) in some of the assignments was definitely a weak point of this course. Some of the wording was unclear, and although it may seem obvious to the instructors what was actually meant, many of us don't have the experience necessary to have this insight. This is a very, very valuable rule I find many instructors don't consider - it's obvious to them because they already know the answer, it isn't nearly as obvious to those without it. They need to put themselves int the mindset of the students to make sure everything is as clear as it should be.[nl]The clicker questions! I understand the use of the clicker questions, however, as a student registered with AccessAbility Services and going into the exam with 95% I often found myself at a loss with so little time to answer the questions. Some hid tricks that were hard to notice and some tested us on material we learned for the first time 10 seconds previously. Not everyone digests new material so quickly and I do not find it fair that even though I attended every class I might not get my full 5% participation mark because of this (the clicker marks aren't updated yet, so I don't know for certain).",,
1,3,1,1,1,6,2,1,1,2,3,3,4,3,2,6,Good all around. Always exciting. ,Teach a little faster,"New content, learning C, having Dave as a professor","Sometimes moved too slowly, explanation on efficiency was lacking",Positively,Need a whiteboard
1,3,1,1,1,2,1,1,2,1,1,2,2,3,3,5,"Dave was able to present the material in a coherent and logical fashion, and did so in a manner that it was nearly impossible to not understand the course material. On top of that, he always tried to make each class entertaining, or at least engaging (the source material can be quite dull and dry if taught improperly).","I can't think of a single improvement. Dave has a solid teaching style that I wouldn't want to see changed in any way. However, there were certain times that Dave wanted to go through a lecture at a brisker pace, but was slowed down by incoming classes. Perhaps one minor change would be to leave questions until the end of lecture, or take some time (say 5-10 minutes), at the beginning of each lecture to allow students to ask questions about previous material.","Learning and working with the C programming language, from basic to advanced concepts.","The transition from Racket to C is a little awkward, especially when you consider the difference in syntax (in-fix vs. prefix). Maybe this is more of a critique of CS135, but I think the transition to C would be easier if the students were introduced to a language that more closely resembles C (i.e., Python).",The class atmosphere was affected positively by both instructor and students.,"The room assigned to our particular class had a gargantuan projection screen and very little white board to work with. For future courses, I recommend ensuring that the classroom always has enough board space to draw proper diagrams (i.e., linked lists, trees, etc)."
1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,1,good explanation during the lecture,more visuals on course notes,interesting course content,"for the beginner of C, sometimes the course moves too fast that I began to become lost sometime...",good atmosphere with respect to everyone,None
1,2,2,2,2,1,2,1,1,2,1,3,2,1,4,6,oral explanation is awesooooome,no comments,learn not only from instructors but also by myself,maybe homework is too hard,positively,"no comments, good"
