mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,3,2,2,1,6,2,2,5,1,1,3,3,3,3,,He takes jokes well.,,,"On the midterm, there should be more space for coding questions.",,
1,2,1,1,2,1,1,1,1,2,2,4,2,2,2,,"Entertaining, made class enjoyable while learning.  Diagrams were a great push to understanding course material.  Always approachable and helpful.",,Material was interesting and fresh.,Tutorials may have assisted with the assignments.,Fun and enjoyable,
1,3,1,2,2,6,2,1,2,1,2,5,3,2,4,,,,,The assignments are very large and it is very easy to get overwhelmed by them.  I found it very difficult to even determine where to start in assignment 2.,,
1,2,1,1,1,6,3,1,1,2,2,4,3,2,3,,,,,,,
1,3,2,2,1,2,2,2,1,1,2,4,2,1,5,,Explains concepts well with examples.,,,,,
1,1,1,1,1,1,4,1,1,1,2,3,1,1,5,,,,,Too much material covered.  Assignments are too hard.,,
1,3,1,2,1,1,1,1,1,2,2,2,3,3,3,,,,,,,
1,3,1,1,1,6,1,1,1,2,3,4,3,2,1,,This is the only class that I go to and I've had a great time during the lectures.,,,,,
1,3,3,2,1,2,2,1,2,2,2,5,2,3,3,,"Good, memorable communicator","Focus on course material, don't go off on tangents.  It helps us get better marks.",Content was useful for understanding,,,
1,3,2,2,1,2,2,1,1,2,1,5,3,2,3,,"Very well taught, great explanations, went over dry material sometimes while still keeping interest.  YouTube videos!",More music before class.,"Crazy assignments, sense of accomplishment.  Good midterm.  I now know the power of the kernel!",Crazy assignments,,
3,3,1,1,1,1,3,1,1,2,3,5,3,1,4,,,,,,,
1,3,1,1,1,1,2,1,1,2,2,2,3,3,5,,,,,,,
1,3,1,1,1,6,2,1,1,2,2,5,3,3,2,,"Good use of metaphors and similes (i.e., relating complex course topics to real life situations and examples).  Speaks very loud and clear: uplifting tone.",,Last assignment is too close to the end of lectures.,,,
2,3,1,2,1,2,4,2,2,2,1,3,1,1,3,,,,,,,
1,3,1,1,1,1,1,1,1,1,1,1,3,2,3,,,,,,,
1,3,1,1,1,1,1,1,1,1,1,5,3,3,3,,Lots of real life analogies students can relate to.,,,,,
1,2,1,1,1,6,1,1,1,2,2,4,1,1,5,,"Enthusiastic, knowledgeable",Better notes on chalkboard: sometimes messy and confusing,,"Too much work, assignments are too long.",,
1,3,1,1,1,1,1,1,1,1,1,5,3,3,4,,Analogies were helpful in understanding the concepts.,"Sometimes talks a little fast, didn't have time to take notes down, but it's good that concepts are often repeated.",,,,
1,3,1,2,1,1,1,1,2,1,1,5,3,2,2,,Excellent communicator.  Good presentation.,More examples?,Interesting material.,"Lots of new material, may be challenging for some students.",,Good classroom.
1,3,2,1,1,6,1,1,2,2,1,1,3,2,3,,YouTube videos before class.  Made lectures engaging.,,,,,
1,3,6,2,1,6,4,1,1,5,2,4,3,2,3,,"Good at projecting voice, easy to understand descriptions and explanations.",,,,,
2,3,1,1,1,2,1,1,1,1,2,4,3,3,4,,Specific examples make definitions impressive and easy to be understood and remembered.,,Well structural and designed and assignment really helpful.,,,
1,3,1,2,1,2,2,1,1,2,2,3,1,1,5,,"Great oral explanations, good respect for the students, good enthusiasm for an 8:30 class.",Nothing really.  Could try and add more supplementary material to compliment slides.,Interesting.  Learn a lot.,Assignments are very time consuming with a full course load.  Hard to organize other courses with OS always being there.,Everything was good.,All fine.
1,3,1,1,1,1,2,1,1,1,1,5,3,2,5,,"Very good presenter, gives entertaining but relevant examples.  Very approachable, and treats students questions well.  Available outside of class almost all of the time.",Nothing :),"Interesting, challenging assignments.",Assignments a bit long.,,
2,2,1,2,2,6,1,2,1,1,2,5,3,3,5,,Always kept lectures interesting and funny.,"Metaphorical type explanations were good, but would prefer more solid examples.",,,,
1,3,1,1,1,1,1,1,2,1,1,5,3,3,2,,,,,,,
1,3,1,1,1,1,1,1,1,1,1,1,3,1,5,,Everything!,Can't think of anything!,,,,
1,2,1,1,1,1,1,1,1,1,2,4,3,1,5,,Great analogies to make understanding hard concepts easier.  Reviewing last lecture's ideas for the first 5 minutes helped.,,Fun to see how everything works :),Way too much work.,,
1,3,1,1,1,1,3,1,1,1,1,5,2,2,5,,Very good oral presentations.,Don't change.,All of it.,"Nothing, really.",,
3,3,1,1,1,6,1,1,1,2,1,5,3,2,4,,,,,,,
1,3,1,1,1,6,2,1,1,1,1,4,3,2,3,,"He explained things clearly, took time to carefully address student questions, and took our feedback seriously.  He presented the otherwise dry material in an upbeat and entertaining way, which is the only thing that enabled me to attend the lectures so early in the morning.","I sometimes got a little confused about the stack diagrams (does it start at the top and grow down, or vice-versa?)",,"8:30 in the morning, and fairly dry material.  Difficult assignments.",,
2,3,2,2,2,1,2,2,1,2,2,5,3,2,4,,"Funny, easy to approach and speaks clearly.","Rather than saying 'I think some people are lost', just assume it and do more examples.",,"The OS161 documentation.  In previous CS courses looking at your notes helped finish assignments but for both A2 and A3, the notes were virtually useless.  You have to trudge through a mountain of mediocrely commented code and you have no aim or purpose other than 'Oh, this might be useful'.  I want to learn about how an OS works, not how to frustrate myself trudging through code.",,
2,4,2,2,1,3,2,2,1,3,4,4,3,1,2,,Good explanations and examples.,Don't show videos before class.  I didn't like most of them (music).  Hard disk seek video was good.  I don't like analogies.,Good variety of topics covered.,Assignments (esp. 3) focused too much on a specific part of the course.  Would prefer smaller assns. on a wider variety of topics.,,Room has bad seats and desks.
2,3,1,1,1,6,3,1,1,2,1,4,3,2,4,,Enthusiastic about course material and teaching.  Very knowledgeable.  Well-prepared for class.  Approachable.  Nice when I asked 'dumb' questions in office hours.,Jumps around the slides a lot.,Useful for real life.,I do not find operating systems interesting.,,
