mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,3,,1,,2,,4,,"Very clear explanation. Stress the key points to make sure everyone understand what is happening, and I feel I understand than the concepts behind the codes clearly understand Dave's instruction.",I think it is nearly perfect.,Very clear notes. ,Instructions in the assignments are not very clear.,No.,"I do not like the mid-term 2pts adjustment. There was a multiple choice question on the first page, where I got everything right but the marker marked it wrong. It was clearly a marking mistake, but that policy prevented me from correcting the issue because I lost 2pts for that question. From most of the people I knew, they did not have such clear incorrect marking. I think that policy only benefited the students who were not satisfied with their grades, and prevented them from asking for a remark for something that is trivial. However, it really hurt me who just got an incorrect marking, which made me feel that the test is more like a game of luck."
2,,2,,2,,2,,1,,2,,3,,2,,1,,3,,2,,3,,2,,1,,4,,,,,,,
1,,1,,1,,2,,2,,2,,2,,2,,3,,2,,1,,4,,3,,2,,4,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,2,,4,,3,,2,,3,,Dave has a really positive attitude and is very expressive. I enjoy his sillyness. ,N/A,"Very good foundation to learning C, very interesting. ",Assignments are definitely challenging. Not necessarily a bad thing but it caused a lot of stress as students have to pass assignments to pass the course and it is quite hard to pass the assignments sometimes. ,Predominantly male but that's just the nature of the cs program right now. Makes it hard to have female friends to code with. ,Good. 
2,,2,,2,,2,,2,,6,,2,,2,,1,,2,,2,,4,,2,"The difficulty curve of the course was a bit exponential; it's a few weeks of simple, kinda-dry material to suddenly memory and efficiency, then suddenly malloc just appears.",2,"* Some assignments were fine, some were way too long.[nl]* Please don't make an assignment due the same week as a midterm.  I know there was a break, but still.  No other course did that.[nl]* Allowing at least *one* dropped assignment might help.  [nl]* Providing slightly more useful test cases would be nice.  The recent malloc assignment is an example; the simple tests for 2 are literally a one line test that provides nothing for us.  Not looking for extensive tests, but providing maybe more than one example test (two would be nice) would help.",3,,"* Good analogies, interesting tangents and information.[nl]* Interesting to listen to, never boring.[nl]* Answers student questions decently.","* Can I mention the Coke?[nl]* Sometimes spends too long on certain topics, leading to falling behind.","* It's overall an enjoyable and interesting course.[nl]* C is a language that teaches a lot when one tries to learn it.[nl]* Topics covered (memory, efficiency, heap) are all applicable outside of the course, and are interesting topics.","* Assignment questions are quite often either harder than expected or time consuming.[nl]* As mentioned earlier, it would be nice if there were more useful example tests.",A certain student made the course a bit more difficult to want to go to at first.,Good.
1,,3,"Instructor(Dave Topkins) is really good at explaining abstract and complex concepts in the most simplest way with analogies and visual representations such as Stack(plate analogy), merge sort(stack of papers analogy) removing from linked list(visual representations) ",1,"very helpful, and eager to teach",1,"Drawing the linked list and removing elements something that I will never forget, i think it's a lot more helpful than just giving the algorithm or talking about it. I think it should be done in other examples as well such as removing/adding from a tree (perhaps balancing for the next terms).",1,,6,,1,"In terms of memory management it was interesting and challenging. Personally, it was something that I've never tried before. But my expectations were more abstract focused.",1,,1,,3,,1,,1,,4,"Course aims to teach algorithm design but skips many important concepts like balancing trees, hash tables, graph searches, shortest paths, divide and conquer algorithms (choosing a pivot etc.)  while focusing more on memory management. I think this should be teached java or python so that students can better focus on their algorithmic reasoning memory management makes this course overly complex and shifts its focus. In CS246 students will be already dealing with memory management. ",1,"Assignments generally needed clarification, descriptions were not adequate enough to understand easily. Instead of giving majority of algorithms in course notes, we should have been talking more about the algorithmic approaches, and do the all implementations by ourselves. For the last two assignments I've spent more time on understanding the questions and modifying the already given implementations for the overly complex questions. I think assignments can be more real word suited examples, instead of just implementing an ADT we should also understand which ADT is more useful in which scenario and why. So that students can better understand why should someone use stack over queue or linked list over array or vice-versa. For instance, one of the assignments can be building a local social network with graphs. CS135 was better in terms of this real work suited assignments approach.",3,,"Course was engaging and clear, some of the analogies makes it better to understand the concepts.",In CS 135 we did a lot more in class coding and on paper coding these were generally good activities. I think these activities should also be in CS136 ,"Teaching the relation between the abstract(data, algorithms) and physical state(memory)","Many important algorithms skipped or given as a C code. We should spend more time on building our algorithms and less time on memory management. Instead of giving algorithms as a C code, it would be a lot beneficial if we just talk about them in class with visual representations and implement them by ourselves on real world examples. ",Attitude of one of students were unintentionally disturbing(asking too many irrelevant questions or talking about irrelevant things without consent) in terms of the progress of the course. But instructor( Dave Tompkins) handled the situation superbly and changed the situation to an unexpected advantage.(kept us engaged with interesting answers to those irrelevant questions and the amount of irrelevant questions gradually decreased),it's good
2,,4,,2,,2,,2,,6,,2,,2,,1,,3,,4,,4,,3,,2,,5,,Drank lots of Coke Zero and also explained concepts at a level all students can understand,"Please no more long exams, RIP my GPA. And also improve seashell.",Interesting questions that resembled real-world programs,C is an awful language. This course has only made my love for Python stronger.,"No, Dave was super chill",
1,,3,,1,,1,,1,,2,,1,,1,,1,,1,,2,,2,,3,,3,,4,,Prof Dave is a great and knowledgeable professor and he explained the concepts well and revisited the last lecture a bit in each lecture.,Drink less coke:(,This course is useful and give a introductory to imperative paradigm.,May give students more information so that we will struggle less for assignments.,Positively. Students are all keen to learn knowledge.,Just right.
2,,2,,2,,1,,1,,6,,2,,2,,1,,2,,1,,2,,4,,2,,3,,,,,,,
1,,3,,2,"Sometimes dwells on questions that are not relevant to the course, or spends too much time on basic questions",1,,1,Makes the occasional slipup by saying one word when he means the other. Sometimes this is a bigger deal if he is using specific terms,6,,2,,1,,1,,1,,1,,3,,2,dynamic memory can go die in a hole,2,"Some assignments were a bit too long, especially the first couple (the one with the sentence editing was ridiculous for the beginning of the course). ",3,,"Engaging, taught content well, makes funny jokes to keep me awake in class",,Teaching us an imperative language,"Marks were very slow to be released, assignments were varying levels of difficulty. Too indecisive of the deadline format (second chances vs extensions; I think you should've stuck with second chances). Regarding seashell and marmoset:[nl]Seashell: implement a way to minimize functions (like Eclipse).[nl]Marmoset: [nl]- group assignments together so that the main page isn't a blob of every single question in the course. [nl]- takes me 3 button clicks to view secret tests, then 3 more to go to a different question. Use the format for viewing marks on cs136. ",,
