mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,2,,1,,1,,1,,6,,2,,1,,1,,2,,1,,4,,2,,2,,3,,"Excellent oral communication skills and explanation! Loved the examples (recursion, etc)",Be there every lecture (amazing when present). Spend a little extra time on trees and graphs if possible,"Introduction to Racket, recursion","Sometimes pretty fast-paced (trees, graphs, lambda)",Positive - very diverse and welcoming,Room was a little too small to fit 60 people
2,,3,"If it's possible give a brief description of things that are related to MATH 135, not everyone in CS 135 is taking it",2,,1,,1,,6,,2,,2,,1,,2,,,,,,3,,2,"Felt like the work became hard after A8, A7 was the breakeven point",3,,Enthusiasm ,,"Strong focus on recursion, specifically structural","High voice, low voice for mutual recursion wasn't necessary, don't strain your voice!",Not at all,Excellent
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,1,,3,,3,,2,,Loved it! great teaching! And very funny :),All pretty good!,Lambdas and functional programming are awesome,I think we should spend more time on graphs.,"Good atmosphere, and Dave is really enthusiastic and engaging.",
2,,2,,1,,2,,1,,1,,2,,1,,2,,1,,1,,4,,3,,2,,3,,He was very good at explaining difficult concepts and keeping lectures interesting.,,,,,
1,,3,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,"write the code to us, which clearly demonstrates every code",Nothing,First step to code. Help us understand many helpful ideas in coding,Too hard for not CS student,The class atmosphere is good,"Nothing, all is well done"
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,4,,2,,3,,2,,4,,Everything. He was very interesting and explained everything well. Went at a good speed.,Live coding makes lectures more interesting and engaging so more of that maybe,Interesting,Each class is a little too long,N/A,Room was too small. It was crowded and no ports. Class size was good.
1,,2,,2,,1,,1,,1,,2,,2,,1,,1,,1,,1,,3,,3,,2,,design recipe,,design recipe,contract,,
2,,3,,1,,1,,1,,2,,2,,1,,1,,2,,4,,3,Textbook looked to complicated and so I focused on lecture slides instead,2,,2,,4,,"Efficient and precise teaching style, ensures we all understand the content and fixes lecture material if we don't. ","Sometimes we stumble onto lecture material that we get confused on, maybe approach this problem by simplifying them during lectures",Lecture slides,Assignment complexity,"Positively, I do not think the student's traits affected the atmosphere of the lectures but Dave had an enjoyable time with us.",
3,,3,,3,,1,,1,,2,,1,,2,,1,,2,,3,,3,,3,,2,,3,,,,,,,
3,,3,,3,,2,,2,,6,,1,,2,,1,,1,,3,,3,,3,,3,,3,,,,Teaching recursion.,Lack of collaboration.,Neutral and fair.,Room was a little congested.
1,,3,,1,,1,,1,,6,,1,"The course started off somewhat dry and too easy, but picked up in a nice way when the unique features of functional languages were brought up. Dave did a really good job at keeping even the boring content interesting. ",1,,1,,2,"The first few assignments felt too easy, but the assignments reached a nice level of difficulty (especially with trie.rkt).",4,,2,,3,,3,,2,,"Dave has an amazing teaching personality that keeps you interested in what he's teaching. I never noticed how good he was at keeping my attention until we had a guest lecturer who was good, but could not keep my attention.","None. But for next term, wait till the 2nd or 3rd class to do the vote for the movie.","The way Dave went through examples, his analogy of having your clone do the rest of the work made recursion a lot easier to understand. ","Sometimes, when some people in the class did not understand a topic, too many examples would be done, leading to class time running out. ","Dave's class has the warmest atmosphere with respect to anything. No one ever felt scared to ask questions, and no one was scared of Dave. He has a very welcoming personality and he applies that to the class.",Drink more water less soda. 
2,,3,,1,,1,,1,,6,,1,,2,,2,,2,,1,,4,,2,,2,,4,,,,,,,
2,,3,,3,"Sometimes was inconsistent with time allotted towards questions. Would spend too much time on some questions, and would not have time to answer others. (For example, a clicker question towards the beginning of the course of translating an expression into racket had a discussion that lasted way too long)",3,,1,,6,,2,,2,,1,,1,,2,,3,,2,,2,,5,New to programming,,,,,No,"MC 2034 is a good room in general. Good desk size, windows, two screens and good chairs. I recommend using it for future courses."
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,4,,4,,3,,3,,3,,Entertain the classroom while teaching material.,,"Not mutual recursion, not tries","Mutual recursion, not tries",,
1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,3,,,,,,,
1,,2,,1,,1,,1,,6,,1,,1,,1,,1,,1,,4,,2,,1,,5,,Good explanation of recursion in general,"When teaching the more complicated sections near the end of the course such as lambda expressions, foldr, and foldl it would have been appreciated if you talked us through the process so that we understand how we should be thinking when we have to write down functions like those on our own.[nl]Also, backtracking algorithms could have been covered in more depth as it would have helped for the assignment.",Course notes were concise and helpful.,"After the second midterm, assignments were unreasonably long in terms of the amount of time required to complete all questions on the assignment.",Instructor's attitude positively affected the class atmosphere.,The following are questions that were too difficult to be done in one sitting:[nl]Assignment 7 Q2[nl]Assignment 8 Q3[nl]Assignment 9 Q2
2,,3,,1,,1,,1,,2,,2,,1,,1,,2,,4,,3,,3,,2,,2,,The action and voice demonstration of recursion and lambda.,Already good enough,,,,
2,The pace went a bit too fast during lists and accumulative recursion but eventually became more clear as the course progressed. ,2,,1,,1,Lego Batman gave me more motivation in life than it probably should have. ,1,Super loud and engaging ,1,,1,,1,,1,,2,"We could have been better prepared for assignment 7, as the process of doing it was extremely frustrating ",1,,3,,3,,2,"Some of the assignments were really hard and time consuming, but was a fair amount overall. ",3,,Really cares about his students and encourages them to ask questions. [nl]I'm glad he took in feedback and slowed down after accumulative recursion [nl]He's really enthusiastic which makes me feel motivated to come to class ,Do more examples that are not in the slides so we have a better idea of how we can apply fundamental concepts. [nl],"Dave and the ISA's and TA's were an extremely supportive group of people who are super engaging to listen to. As a first time programmer, the intimidation I had felt previously coming in slowly became minimal thanks to these guys. ",Assignment 7 ,The class is cool. ,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,4,,3,,3,,3,,Making the course interesting.,,Really interesting course.,"The exam cares less about programing, more about basic knowledge.",Positively.,The class size is too big and the room is too small. Sometimes even the last row is full.
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,4,,4,,3,,3,,3,,"Very friendly, loved the movies (made the classes more fun), implementation and examples given were VERY helpful. Just a very funny, cheerful, and relatable teacher in general (GO DAVE, favourite uni teacher)","Sometimes, examples may be overly complicated or harder to follow, and once you get lost you can basically never follow the rest of it","Loved Assignments, Challenging",Assignments took a while (why racket...),"Great atmosphere, everyone was friendly",Great
