mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,2,,4,,3,,2,,2,,excellent oral presentation and explanation of some abstract theory,nothing.,helpful assignment[nl]great material,too much racket.,positively.,
1,,3,,2,,2,,1,,2,,2,,1,,1,,1,,1,,3,,3,,3,,2,,Explained the concepts really well.,,Introduction to many useful concepts that became the foundation of my knowledge.,Moving a little fast towards the end.,Great atmosphere.,Enjoyable overall.
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,2,,3,,Humourous,,clear explanation,,really good,
1,,3,,3,,1,,1,,2,,1,,1,,1,,2,,2,,2,,3,,3,,4,,,,,,,
,,3,,2,,1,,1,,1,,2,,1,,1,,2,,2,,2,,2,,3,,2,,"Funny, educational",,Arrays,Racket,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,1,,5,,3,,3,,3,,,,,,,
2,,3,,2,,1,,1,,3,,2,,2,,1,,2,,2,,5,,3,,3,,2,,Made the class exciting and fun to be in.,,,,Never brought up.,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,3,,4,,5,,2,,The instructor was like a discount version of my cool high school CS teacher.,The instructor's jokes could be better.,,,Too many students speaking mandarin,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,2,,4,,Best CS professor at Waterloo!,,"Finding Dory, pointers",Too many memory leaks,"""\0""",The projector on the left has always been slightly dimmer than the one on the right. That has always bugged me a little.
2,,3,,2,,2,,2,,1,,2,,2,,1,,1,,2,,3,,3,,3,,3,,"know his stuff, interesting course",Relate to more real world cases,good assignments,lectures are not as useful as the assignments,No,"good classroom, pls don't go to MC anymore"
1,,4,,2,,1,,1,,1,,2,,1,,2,,1,,2,,5,,3,,2,,3,,"Super funny, he makes CS136 a really interesting one. [nl]Also in winter term, seeing your instructor wearing summer beach shirt is always ""warm""",,A really good introduction course to C language,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,1,,2,,3,,3,,2,,,,,,,"Great teacher, honestly made things so clear for me to understand."
1,,3,,1,,1,,1,,2,,2,,1,,1,,1,,1,,4,,3,,3,,3,,"Very effective instructor, makes lectures funny!",Please don't drink coke zero when you're sick. It's not good for your voice :),Good content,Maybe spend less time on the easier concepts and spend more time on the harder materials / assignments,Positive in general,
2,,3,,2,,2,,2,,3,,2,,1,,2,,2,,4,,3,The course notes are great,4,why not C11? It is more than stable now,3,,2,,"Dave is awesome! [nl]Drink less coke, I want to take another course with you!",,,,,
1,,3,,2,,1,,1,,1,,1,,1,,1,,2,,2,,3,,2,,3,,3,,Great visual presentation,More lightsaber plz,Emphasis on practice,Coursebook is not helpful,NA,NA
2,,5,,2,,2,,2,,6,,3,"The gap between CS 136 and 146 is far too big. I would have liked to see more challenging topics discussed, especially considering the amount of competition for jobs.",1,,1,,2,"The assignments were too tedious, but not challenging enough. I would prefer harder problems that have less room for implementation error.",4,,4,,5,,3,"It took enough time to do, but it was mostly very tedious",2,,"Dave is very enthusiastic, and I can see why he is rated so highly. At the same time, I feel like the first-year CS curriculum at the University of Waterloo does not cover enough new content, which gives students that have more experienced backgrounds a significant advantage for co-op.","While I can sympathise with Dave's views on gender identity, I think he takes it a bit far. In one lecture, he made a statement about how women are better at computational complexity that seemed to imply that gender differences were a larger predictor of success than other factors. With a self-selecting population like that of the University of Waterloo, I think that idea is at best incorrect, and at worst actively harmful. In any case, I don't see the value it brings to a CS education.","Introducing FP first is great (I would love to see more advanced lisp in CS 135). Also, teaching C is far better than a language like Java or python. I am happy that Waterloo has not followed this disappointing trend.","I would have liked to see more topics (especially data structures and algorithms) introduced. Why is it that after a year of schooling, we can't do AVL trees when students of CS 145 do them in the first week? An alternative is to offer enriched courses that are not as crazy.",It was fine. I don't really pay attention to these things.,Class size is great!
1,,3,,1,,1,,1,,6,,1,,1,,1,,2,,1,,5,,3,,2,,4,,"Hello Dave! You are the most amazing I have even seen, I can say you bright my life! I really wish you could teach all my CS classes.",Drink less Coke please :),Helpful basic knowledge,,positively,Everything was good
1,,3,,1,,1,,1,,3,,1,,1,,1,,2,,3,,3,,3,,3,,3,,"It was really fun taking his course. He is really funny, so I could enjoy his class a lot.",,Easy to concentrate.,,,Appropriate
1,,3,,3,,1,,1,,1,,2,,1,,1,,1,,1,,5,,3,,2,,3,,I like your analogies. They do help me understand the material.,"You seem to be very accepting of any type of student in your classroom, which I really like. I would appreciate if you did not say ""OCD"" and perhaps instead said words like ""particular"", ""fastidious"", ""persnickety"", etc. Overall thank you for being an accepting professor.",,,Positively,
1,,3,,1,,1,,1,,1,,1,Dave is the one who made it interesting!!,1,,1,,1,,1,,1,,2,,3,,4,,"Although this was just my first year, I doubt if I would meet such a great prof again. Dave made the class so much fun and also made me fall in love with CS :) He used anything possible to visualize those concepts and guided us to analyze code line by line. I appreciated all of his effort and his enthusiasm in teaching and helping ! Love all of his jokes and analogy!",Don't have much to say...,This course introduces much advanced and practical ideas about programming and relates it more to the real world. Very useful stuff,,positively,"My favourite joke is the one about ASCII: those guys in the desert gave a number to each of their jokes. Lol, I will definitely tell it to my friends"
2,,3,,1,,1,,1,,6,,2,,1,,1,,2,,4,,5,,3,,3,,2,,Interesting and humorous lectures,,,,,Drinks too much coke
2,,2,,2,,1,,2,,3,,2,,2,,1,,2,,1,,2,,2,,2,,4,,Diagrams/highlighting on the screen was super helpful. Also appreciated your humour.,,,"Assignments were long and difficult, especially for those with no prior programming experience. More examples in the course notes would have helped. The midterm also asked a lot of questions about interfaces, which we did not have practice with on the assignments.",,Class size/classroom were good.
1,,3,,2,,1,,1,,1,,2,,1,,1,,1,,1,,5,,3,,3,,3,,Very enthusiastic. Great guy,Keep at it,,,What kind of question is this,Needs more My Little Pony references. My fav is Twilight Sparkle
1,,3,,1,,1,,1,,6,,2,The bonus content on the slides taught me some pretty cool stuff. Nice.,1,,1,,2,,5,,4,,5,,4,,2,,"Such great enthusiasm and energy while lecturing! Such a positive experience having a prof that obviously cares about his teaching and about the learning of the students. Dave clearly knew what he was talking about; had very clear explanations, demos, examples, and excellent (often hilarious) analogies. Best instructor of first year by far. 10/10 would recommend. (Seriously his enthusiasm and commitment made me want to do well in the course).",null,"Enjoyed pointers and linked lists - very useful! Learning about what your code is actually *doing* ""under the hood"" in memory and all that was really interesting as well.","Thought the material was a bit dry, especially for weeks 1-7. Course moves reaaaally slow at the start, even though the topics are familiar to most and very easy to grasp otherwise. We could cover so much more. Assignments were also kind of simple, not a lot of challenging or tricky problems, as most really just tested a surface level knowledge of the content. Most questions were more tedious/boring than difficult. I think increasing the difficulty of the assignments in general, or having one clearly difficult problem per assignment could really be beneficial, and make the course more fun. CHALLENGE US!",Great atmosphere :),nah
1,,3,,2,,1,,1,,2,,1,,1,,1,,1,,2,,4,,3,,3,,3,,,,,,,
2,,2,,2,,2,,1,,6,,2,,2,,1,,2,,3,,3,,2,,2,,2,,Good slow explanations for some concepts. Finding Dory was an amazing :),"Stop wasting lecture time with jokes that not everyone understands.  Sometimes, the first example in a new module was very complicated without a foundation meaning it is easy to not understand a lecture right from the beginning.","Pointers, loops and arrays.  Clicker questions are great.",linked lists,"No, everyone was already used to multiculturalism.",
1,,1,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,4,,3,,3,,"Dave, your explanations are amazing! On top of this your jokes and stories make the course so much more interesting! You did really well in engaging the students (especially those awesome stories). Also, it is clear that you really care about your students, which is super important to me. Thanks Dave!",Tell more jokes and stories. More lightsaber more fun.,Assignments challenged me and helped me improve my programming a lot.,"I think its a good idea to compare Racket and C when teaching C, but I think that there should be no Racket on any exam (except translating Racket to C). This is because saying that ""Racket could be on the exam"" causes students to review all of Racket syntax when there will be little to none on any exam (in the case of this midterm there was none). I understand that comparing Racket and C can help students grasp imperative programming initially, and I support this. I just don't think Racket should be tested at all (eg. instructors specify that there will be 0 Racket on exams).",Class atmosphere is amazing.,
